background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,20.833,-3.531,0.116,0.771,3
1,25.945,-3.466,0.1,0.717,2
0,77.166,0.221,0.012,0.932,4
0,20.058,0.541,0.126,0.472,6
0,20.928,1.427,0.146,0.471,6
0,22.668,-3.256,0.109,0.649,4
0,20.984,2.869,0.101,0.823,2
1,45.026,-3.429,0.058,0.708,2
0,20.73,2.299,0.118,0.433,7
1,33.976,-4.321,0.064,0.847,2
0,23.853,-2.553,0.108,0.648,4
1,43.14,3.796,0.065,0.708,2
0,20.348,-1.948,0.13,0.355,9
1,23.767,2.35,0.095,0.48,7
1,71.361,3.044,0.032,0.799,2
1,30.862,-3.379,0.079,0.746,2
0,20.405,-0.185,0.112,0.533,5
1,119.668,-2.694,0.003,0.995,2
0,21.755,-1.176,0.106,0.561,6
1,33.287,-4.006,0.089,0.709,2
1,36.465,2.349,0.071,0.468,6
1,44.883,4.103,0.071,0.708,2
0,20.269,-2.36,0.128,0.55,7
0,30.164,-3.718,0.079,0.839,2
0,24.284,0.893,0.118,0.552,6
0,21.978,2.678,0.115,0.681,3
1,54.644,3.428,0.034,0.883,2
1,30.126,-3.72,0.063,0.888,2
0,28.992,4.229,0.092,0.708,2
0,20.203,-2.231,0.114,0.359,10
0,22.557,-0.446,0.119,0.545,7
1,23.88,-3.558,0.12,0.56,4
0,22.639,-1.872,0.114,0.396,10
0,30.565,-1.15,0.04,0.912,4
1,46.568,4.191,0.064,0.713,2
0,20.743,2.047,0.134,0.306,12
0,25.673,-3.519,0.106,0.731,2
1,26.131,-3.139,0.091,0.503,5
1,52.267,-2.55,0.02,0.96,2
1,22.323,4.297,0.1,0.824,2
1,22.336,-3.64,0.111,0.709,3
1,46.844,-2.648,0.025,0.948,2
0,20.016,4.459,0.122,0.801,2
1,51.101,3.16,0.034,0.897,3
0,20.213,-0.607,0.133,0.456,7
1,36.144,-4.247,0.077,0.764,2
1,29.617,-3.38,0.081,0.635,3
1,33.491,3.305,0.086,0.656,3
1,38.254,3.51,0.038,0.93,2
0,20.238,2.52,0.122,0.577,5
1,33.088,-3.479,0.066,0.853,2
0,29.637,3.01,0.096,0.611,3
1,63.515,3.663,0.024,0.918,2
0,20.924,-0.18,0.124,0.463,6
0,21.869,-0.537,0.117,0.528,8
0,23.085,1.159,0.093,0.448,7
0,24.164,-1.896,0.101,0.49,8
0,24.547,3.334,0.108,0.649,3
1,431.598,-0.442,0.0,1.0,2
1,38.081,2.902,0.065,0.59,3
0,20.07,3.563,0.13,0.786,2
