background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,21.348,0.0,0.0,1.0,1
0,26.649,0.0,0.0,1.0,1
1,27.066,0.0,0.0,1.0,1
0,27.505,4.035,0.139,0.737,2
1,36.165,0.0,0.0,1.0,1
0,42.734,0.0,0.0,1.0,1
0,23.797,4.123,0.171,0.71,2
1,23.073,0.0,0.0,1.0,1
1,23.298,0.0,0.0,1.0,1
0,27.673,0.0,0.0,1.0,1
0,22.704,4.176,0.168,0.757,2
1,42.659,5.013,0.073,0.899,2
0,24.497,4.095,0.159,0.635,3
0,43.254,0.0,0.0,1.0,1
0,21.705,0.0,0.0,1.0,1
1,35.988,5.766,0.15,0.668,3
1,84.332,12.246,0.118,0.674,5
0,31.269,6.102,0.185,0.648,3
1,118.663,7.142,0.057,0.746,2
1,36.337,0.0,0.0,1.0,1
1,81.91,0.0,0.0,1.0,1
1,58.325,9.605,0.15,0.725,3
0,23.649,4.445,0.185,0.713,2
1,100.585,0.0,0.0,1.0,1
0,23.327,0.0,0.0,1.0,1
1,33.235,0.0,0.0,1.0,1
1,33.493,0.0,0.0,1.0,1
1,92.49,0.0,0.0,1.0,1
1,72.751,0.0,0.0,1.0,1
1,36.342,0.0,0.0,1.0,1
1,50.331,4.274,0.073,0.79,2
0,30.41,4.16,0.134,0.72,2
0,31.658,4.133,0.117,0.773,2
1,44.362,0.0,0.0,1.0,1
0,31.392,5.327,0.152,0.771,2
0,21.278,2.386,0.097,0.79,2
0,40.339,5.513,0.131,0.734,2
1,37.19,5.341,0.124,0.55,4
1,20.898,0.0,0.0,1.0,1
1,28.424,4.036,0.126,0.774,2
1,54.309,6.493,0.11,0.583,3
0,24.387,3.995,0.159,0.604,3
1,22.79,2.427,0.102,0.733,2
0,20.599,3.98,0.173,0.656,3
1,35.394,6.39,0.164,0.694,3
1,103.666,6.043,0.021,0.966,2
0,32.197,5.772,0.161,0.511,4
1,78.259,0.0,0.0,1.0,1
0,21.893,3.146,0.142,0.712,2
1,49.51,5.357,0.064,0.906,2
0,21.885,3.245,0.111,0.848,2
