background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,21.141,4.399,0.198,0.591,3
0,20.295,3.15,0.152,0.718,2
1,39.838,6.206,0.151,0.674,3
1,60.156,8.728,0.12,0.785,3
1,51.136,3.396,0.048,0.661,3
0,26.339,3.917,0.14,0.653,3
0,28.668,5.797,0.18,0.536,4
0,26.734,4.276,0.139,0.58,3
0,30.009,5.586,0.177,0.734,2
1,108.963,16.661,0.122,0.706,6
0,27.991,4.684,0.164,0.714,2
0,46.088,10.382,0.175,0.536,4
0,40.518,0.0,0.0,1.0,1
1,27.611,5.598,0.184,0.534,4
0,22.719,3.227,0.133,0.584,3
1,77.572,15.372,0.149,0.503,6
1,49.859,3.942,0.079,0.711,2
1,77.91,0.0,0.0,1.0,1
0,24.786,0.0,0.0,1.0,1
0,23.323,4.282,0.182,0.708,2
1,130.706,12.452,0.054,0.77,5
1,166.461,11.482,0.026,0.963,2
1,51.648,3.256,0.058,0.726,3
1,58.033,7.503,0.102,0.717,5
1,104.238,9.997,0.072,0.847,2
1,116.072,0.894,0.007,0.767,2
1,88.898,5.635,0.022,0.727,3
1,122.054,9.629,0.044,0.832,4
1,83.402,8.993,0.075,0.59,5
0,34.728,6.378,0.162,0.667,3
1,20.01,0.68,0.033,0.735,2
1,168.544,20.354,0.103,0.538,5
0,20.399,3.173,0.152,0.624,3
0,39.117,9.608,0.231,0.449,5
1,21.445,1.694,0.064,0.822,2
1,117.486,8.589,0.059,0.592,5
1,49.359,0.913,0.018,0.734,2
0,40.572,6.976,0.17,0.593,3
0,27.679,0.0,0.0,1.0,1
0,25.491,4.179,0.133,0.538,4
0,53.337,7.92,0.089,0.697,3
1,122.063,19.478,0.151,0.588,4
0,29.597,4.132,0.12,0.573,4
1,90.966,5.316,0.053,0.656,3
0,24.243,1.008,0.041,0.712,2
0,21.044,2.012,0.081,0.597,3
1,107.9,5.349,0.041,0.704,3
0,92.673,12.509,0.114,0.635,4
0,33.325,4.926,0.129,0.614,3
1,46.118,11.11,0.232,0.537,4
1,44.928,1.906,0.041,0.728,2
0,20.008,0.0,0.0,1.0,1
1,199.765,15.894,0.057,0.53,6
0,24.117,2.962,0.114,0.751,2
