background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,22.82,0.465,0.02,0.723,2
1,89.461,0.0,0.0,1.0,1
1,73.033,3.829,0.047,0.65,3
1,131.262,6.707,0.043,0.737,3
1,53.236,1.772,0.03,0.765,2
0,25.72,3.999,0.136,0.749,3
1,187.676,17.302,0.085,0.586,4
0,20.235,1.838,0.089,0.717,2
1,29.695,1.352,0.045,0.717,2
1,24.356,4.335,0.159,0.629,3
1,118.386,8.143,0.027,0.958,3
1,35.626,3.924,0.101,0.696,3
1,66.694,0.0,0.0,1.0,1
1,42.225,3.936,0.086,0.617,4
1,44.225,0.0,0.0,1.0,1
0,79.841,10.684,0.122,0.535,4
1,73.239,10.273,0.111,0.579,4
0,50.685,8.947,0.171,0.723,2
0,24.117,2.962,0.114,0.751,2
0,23.437,4.163,0.149,0.616,3
1,26.258,2.077,0.045,0.914,2
1,38.896,3.97,0.073,0.861,2
1,139.889,25.678,0.158,0.45,7
1,20.124,3.414,0.162,0.734,2
0,22.11,0.0,0.0,1.0,1
1,65.528,10.21,0.13,0.516,5
0,21.953,2.49,0.112,0.582,3
0,22.557,2.719,0.094,0.834,2
0,28.214,2.826,0.1,0.709,2
0,34.834,2.979,0.082,0.738,2
0,40.851,3.352,0.055,0.879,2
0,26.362,3.837,0.145,0.707,2
0,21.607,1.344,0.059,0.739,2
1,279.211,7.78,0.011,0.959,2
1,246.776,0.0,0.0,1.0,1
0,21.449,3.198,0.126,0.801,2
1,129.783,5.77,0.029,0.824,3
0,20.568,2.479,0.082,0.876,2
0,21.895,0.527,0.022,0.761,2
1,57.876,8.281,0.118,0.809,2
1,46.738,7.243,0.141,0.612,3
1,29.285,0.565,0.013,0.654,3
1,49.428,1.691,0.016,0.947,2
0,48.727,6.697,0.107,0.524,4
1,81.853,0.0,0.0,1.0,1
1,193.507,8.827,0.025,0.845,4
1,27.933,3.281,0.116,0.715,2
0,21.301,0.553,0.023,0.782,2
1,55.253,10.889,0.179,0.641,6
1,106.981,18.274,0.138,0.53,7
0,33.238,5.52,0.147,0.508,4
1,83.456,5.513,0.036,0.77,3
1,50.597,1.45,0.028,0.721,2
1,126.84,13.817,0.072,0.551,6
0,28.957,3.04,0.102,0.725,2
1,53.477,8.579,0.137,0.6,5
0,25.072,0.0,0.0,1.0,1
1,142.714,20.193,0.109,0.589,5
0,30.368,2.938,0.086,0.779,2
1,50.278,3.717,0.067,0.763,2
1,21.671,3.134,0.118,0.643,3
0,28.578,2.465,0.065,0.844,2
0,28.208,3.788,0.122,0.763,2
0,39.739,3.351,0.073,0.787,2
0,20.54,3.914,0.181,0.736,2
0,28.407,3.383,0.117,0.714,2
1,95.969,8.158,0.067,0.625,4
1,162.024,14.112,0.066,0.74,3
0,21.046,3.579,0.146,0.768,3
0,20.891,0.0,0.0,1.0,1
1,39.241,3.672,0.062,0.882,2
0,23.917,2.205,0.074,0.822,2
1,75.953,9.668,0.112,0.634,4
1,114.442,3.967,0.033,0.741,2
0,33.31,5.936,0.155,0.528,4
1,114.427,9.764,0.057,0.799,3
1,23.826,2.617,0.1,0.764,2
0,43.417,7.641,0.164,0.602,4
1,34.666,3.541,0.071,0.77,3
0,34.291,5.463,0.15,0.742,2
0,41.161,7.981,0.173,0.589,4
0,20.175,1.881,0.085,0.765,2
1,52.412,2.727,0.051,0.719,2
0,48.088,7.852,0.146,0.769,2
1,64.93,0.0,0.0,1.0,1
1,44.65,2.327,0.05,0.664,3
0,20.327,2.759,0.111,0.814,2
1,180.053,13.6,0.051,0.855,3
1,80.448,6.964,0.065,0.71,3
0,37.346,1.572,0.031,0.848,2
0,30.519,3.229,0.092,0.526,4
1,43.392,0.0,0.0,1.0,1
1,100.824,5.138,0.045,0.785,2
1,54.581,0.0,0.0,1.0,1
1,125.779,7.608,0.026,0.774,4
1,60.341,4.059,0.057,0.742,3
1,20.086,1.574,0.05,0.89,2
1,241.656,44.687,0.167,0.717,4
0,21.931,2.048,0.092,0.716,2
0,35.21,5.002,0.127,0.618,3
1,101.054,15.215,0.119,0.762,3
1,21.373,0.0,0.0,1.0,1
0,20.035,2.464,0.121,0.716,2
1,96.06,1.3,0.011,0.808,2
1,217.453,4.171,0.004,0.845,3
1,45.664,3.805,0.049,0.648,3
1,106.855,16.827,0.102,0.629,4
1,82.456,0.0,0.0,1.0,1
0,26.831,0.0,0.0,1.0,1
0,21.364,2.012,0.094,0.71,2
1,167.319,12.15,0.038,0.738,4
0,20.134,0.0,0.0,1.0,1
0,46.206,9.111,0.19,0.385,8
0,26.586,4.289,0.155,0.525,4
1,31.161,0.0,0.0,1.0,1
0,57.636,5.069,0.072,0.718,3
0,22.874,2.452,0.103,0.73,2
1,76.154,7.927,0.094,0.566,4
0,25.276,5.338,0.205,0.627,3
1,116.408,12.768,0.077,0.839,3
0,28.424,4.45,0.121,0.655,3
0,20.079,0.0,0.0,1.0,1
1,31.135,3.456,0.109,0.638,3
0,28.41,1.367,0.038,0.827,2
1,100.502,5.366,0.025,0.936,3
1,69.859,1.789,0.02,0.825,2
1,131.38,25.674,0.179,0.503,7
0,25.2,1.674,0.056,0.799,2
1,165.706,31.852,0.137,0.552,7
0,24.829,0.509,0.02,0.708,2
1,118.246,17.495,0.11,0.486,7
0,23.372,0.428,0.018,0.708,2
1,71.712,6.572,0.05,0.687,3
0,22.926,2.314,0.062,0.902,2
1,43.844,3.889,0.066,0.581,4
0,21.486,3.14,0.132,0.573,4
0,50.502,7.908,0.138,0.532,4
1,21.422,0.997,0.044,0.746,2
0,46.726,8.631,0.171,0.57,4
1,191.887,0.0,0.0,1.0,1
1,42.005,8.251,0.171,0.513,4
1,22.277,3.029,0.135,0.708,2
0,29.83,3.514,0.109,0.679,3
1,107.309,14.227,0.112,0.56,6
1,44.318,4.384,0.068,0.873,2
0,33.118,4.177,0.11,0.785,2
0,30.607,4.44,0.136,0.742,2
1,98.09,7.071,0.048,0.708,3
0,24.858,4.028,0.137,0.585,3
1,166.461,11.482,0.026,0.963,2
1,23.083,3.039,0.11,0.654,3
1,33.447,0.872,0.024,0.75,2
1,56.266,7.618,0.129,0.696,3
1,58.106,10.046,0.142,0.514,5
0,25.357,0.0,0.0,1.0,1
1,73.417,0.0,0.0,1.0,1
0,37.607,7.273,0.182,0.592,3
0,40.44,7.367,0.162,0.495,5
0,21.249,1.694,0.072,0.77,2
0,23.553,2.886,0.118,0.731,2
1,34.871,4.523,0.124,0.666,3
0,26.558,3.339,0.103,0.618,3
0,38.769,6.237,0.149,0.519,4
1,109.645,18.53,0.143,0.506,6
0,26.164,5.982,0.209,0.462,6
1,28.729,1.845,0.05,0.696,3
1,124.52,13.913,0.065,0.604,5
1,84.026,8.635,0.058,0.708,4
1,29.26,2.839,0.063,0.677,4
1,45.076,7.5,0.144,0.698,3
1,41.8,4.167,0.088,0.783,2
0,28.256,2.998,0.073,0.628,3
1,216.164,25.257,0.106,0.598,3
1,63.325,0.0,0.0,1.0,1
0,36.276,4.341,0.101,0.731,3
0,26.407,6.326,0.21,0.423,6
