background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,113.974,18.1,0.127,0.375,13
0,28.656,5.19,0.155,0.38,8
1,78.612,9.507,0.108,0.642,6
1,323.319,23.959,0.037,0.767,8
0,23.82,5.895,0.232,0.426,6
0,20.229,3.211,0.147,0.505,4
0,22.239,2.004,0.076,0.553,4
1,28.89,6.507,0.212,0.442,6
1,261.125,10.726,0.011,0.962,4
0,20.9,5.345,0.232,0.481,5
0,24.621,5.902,0.202,0.403,7
1,198.632,10.53,0.047,0.605,3
0,44.261,2.409,0.045,0.535,4
1,331.201,10.258,0.009,0.724,6
0,24.051,5.572,0.208,0.5,5
0,29.313,5.528,0.153,0.493,6
0,21.986,3.53,0.128,0.54,4
1,218.202,15.394,0.04,0.625,8
1,187.005,6.117,0.008,0.984,2
0,21.275,5.008,0.222,0.452,5
0,26.026,3.844,0.121,0.488,6
1,151.329,7.936,0.032,0.634,6
0,21.521,3.67,0.151,0.543,4
1,49.173,8.267,0.137,0.462,7
1,83.556,7.853,0.065,0.501,7
0,24.719,5.982,0.227,0.36,8
1,32.937,2.051,0.06,0.513,4
0,22.724,4.571,0.173,0.422,6
1,91.155,17.52,0.174,0.458,11
0,20.57,2.095,0.096,0.469,5
1,174.756,0.0,0.0,1.0,1
1,208.174,15.939,0.025,0.926,6
1,252.071,18.892,0.043,0.533,8
1,300.964,31.537,0.094,0.395,14
0,20.497,3.994,0.189,0.611,3
0,25.306,2.509,0.089,0.523,5
0,20.905,3.543,0.152,0.519,4
0,29.415,5.778,0.176,0.443,6
1,162.936,8.028,0.02,0.92,4
0,20.174,2.718,0.112,0.509,4
0,38.08,6.893,0.165,0.505,5
1,341.243,5.361,0.009,0.851,3
1,64.954,8.044,0.099,0.376,11
1,166.597,14.671,0.05,0.675,8
1,202.158,10.817,0.012,0.95,4
1,69.281,6.101,0.076,0.476,7
1,53.138,12.578,0.222,0.331,11
1,98.225,9.504,0.065,0.689,6
1,98.167,9.983,0.074,0.407,9
0,20.262,3.811,0.172,0.369,8
1,874.53,27.538,0.007,0.859,6
1,23.626,0.355,0.014,0.734,2
0,21.661,3.906,0.167,0.438,7
1,135.183,8.307,0.043,0.83,4
0,22.686,3.508,0.124,0.449,6
0,38.294,1.455,0.02,0.812,3
1,545.328,33.996,0.03,0.769,11
1,128.287,23.826,0.157,0.292,16
1,34.255,5.814,0.116,0.464,7
0,20.759,4.051,0.175,0.41,6
1,224.746,0.0,0.0,1.0,1
0,30.193,7.3,0.226,0.437,7
0,21.548,3.229,0.137,0.471,6
1,42.179,7.681,0.168,0.696,4
0,35.207,7.007,0.175,0.38,8
1,98.967,0.0,0.0,1.0,1
0,25.633,5.58,0.196,0.435,6
1,27.369,3.691,0.1,0.549,4
0,20.095,3.24,0.138,0.564,4
1,333.565,4.49,0.002,0.993,2
0,20.158,3.886,0.151,0.385,7
1,191.262,16.568,0.037,0.791,6
0,21.234,4.357,0.177,0.501,5
0,24.07,5.051,0.197,0.379,7
1,90.394,9.421,0.069,0.481,10
0,21.808,3.261,0.119,0.453,5
1,116.375,19.166,0.146,0.403,13
0,31.014,5.921,0.155,0.46,5
1,172.779,17.845,0.079,0.564,8
0,20.245,5.144,0.242,0.404,7
1,176.959,10.077,0.019,0.836,5
1,443.437,14.748,0.007,0.981,3
0,26.273,5.545,0.2,0.503,4
0,20.638,4.636,0.214,0.476,6
0,22.159,3.733,0.151,0.422,6
1,79.584,0.0,0.0,1.0,1
0,275.882,15.478,0.026,0.895,4
0,24.368,4.843,0.194,0.485,5
0,26.631,4.033,0.142,0.638,4
1,286.051,31.487,0.081,0.437,15
0,23.124,3.166,0.12,0.529,4
0,21.008,2.509,0.102,0.504,4
0,23.308,5.217,0.212,0.422,6
0,25.71,4.362,0.147,0.523,4
0,24.714,1.346,0.051,0.476,5
0,24.264,4.312,0.151,0.515,7
1,52.595,6.095,0.087,0.503,7
0,31.337,5.839,0.152,0.438,6
1,207.621,2.394,0.003,0.978,2
1,65.651,7.49,0.078,0.573,7
1,141.991,10.262,0.052,0.576,7
1,180.546,17.519,0.057,0.605,10
0,24.976,5.061,0.18,0.383,7
0,30.006,6.132,0.188,0.329,10
