background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 0,    40.511,    -2.752,     5.370,     0.123,     0.678,    3
 0,    32.712,     2.077,     6.713,     0.192,     0.381,    7
 0,    30.288,     2.604,     3.402,     0.099,     0.782,    2
 0,    21.411,     3.644,     0.000,     0.000,     1.000,    1
 1,   488.762,     1.973,    25.022,     0.015,     0.955,    6
 0,    35.974,    -1.231,     4.414,     0.110,     0.723,    3
 1,    32.356,     2.913,     3.984,     0.119,     0.605,    3
 0,    26.581,     0.272,     6.447,     0.233,     0.420,    6
 0,    23.788,     0.216,     4.096,     0.165,     0.422,    6
 0,    22.207,    -0.355,     4.323,     0.169,     0.464,    5
 0,    20.990,    -2.015,     4.753,     0.189,     0.355,    8
 0,    20.123,    -0.560,     2.912,     0.142,     0.524,    4
 0,   750.159,    -0.062,     3.678,     0.001,     0.987,    2
 1,    45.315,     3.648,     7.752,     0.150,     0.783,    2
 0,    38.153,    -1.135,     5.120,     0.096,     0.615,    5
 0,    33.314,    -0.712,     6.531,     0.174,     0.550,    5
 0,    27.050,    -4.342,     0.000,     0.000,     1.000,    1
 0,    26.403,    -1.307,     3.400,     0.112,     0.461,    5
 0,    21.474,     0.243,     3.847,     0.169,     0.522,    4
 1,   828.779,     1.740,    64.737,     0.041,     0.611,   14
 1,   476.780,    -1.337,    18.261,     0.010,     0.954,    4
 0,   286.414,     0.620,    25.936,     0.037,     0.944,    4
 0,    49.682,    -1.001,    12.213,     0.232,     0.356,    9
 0,    33.104,     2.859,     4.598,     0.124,     0.772,    2
 1,    31.271,    -4.190,     0.000,     0.000,     1.000,    1
 0,    27.080,    -0.573,     5.388,     0.179,     0.474,    5
 0,    25.108,     1.549,     3.341,     0.122,     0.537,    4
 0,    25.095,     1.041,     5.033,     0.197,     0.412,    6
 0,    24.994,    -2.779,     0.728,     0.028,     0.735,    2
 0,    22.701,     1.958,     4.586,     0.200,     0.504,    4
 0,    22.187,    -0.030,     4.519,     0.193,     0.454,    5
 0,    20.670,    -1.640,     3.708,     0.154,     0.524,    4
 0,    20.260,    -3.767,     2.678,     0.128,     0.727,    2
 0,    20.073,     0.702,     3.566,     0.157,     0.653,    3
 1,   603.726,    -0.932,    34.425,     0.018,     0.972,    4
 1,    42.347,    -3.953,     0.000,     0.000,     1.000,    1
 0,    38.237,    -1.090,     8.911,     0.211,     0.375,    8
 0,    33.598,    -1.429,     5.913,     0.148,     0.429,    6
 0,    33.144,     0.610,     6.001,     0.172,     0.439,    6
 1,    28.201,     4.343,     0.000,     0.000,     1.000,    1
 0,    25.546,     1.064,     4.886,     0.161,     0.444,    6
 0,    22.905,    -2.039,     4.021,     0.171,     0.453,    5
 0,    22.378,    -2.179,     4.301,     0.182,     0.452,    5
 0,    22.293,    -1.457,     3.557,     0.146,     0.458,    5
 0,    20.471,     0.605,     3.899,     0.178,     0.578,    4
 1,   100.409,    -2.956,     0.000,     0.000,     1.000,    1
 1,    80.803,     3.566,     0.000,     0.000,     1.000,    1
 0,    40.066,     1.629,     6.607,     0.121,     0.553,    6
 0,    32.754,    -0.135,     3.549,     0.073,     0.585,    5
 0,    32.348,     1.226,     7.276,     0.204,     0.392,    7
 1,    28.782,    -3.366,     2.862,     0.092,     0.753,    2
 0,    24.367,     0.199,     4.734,     0.185,     0.452,    5
 0,    23.346,     0.811,     5.526,     0.220,     0.377,    8
 0,    22.564,    -0.246,     4.331,     0.179,     0.397,    7
 1,   461.104,     1.494,    27.922,     0.021,     0.675,    8
 0,    49.483,    -0.450,     9.632,     0.171,     0.332,   10
 1,    45.559,    -1.721,     7.915,     0.153,     0.375,    9
 0,    32.527,    -1.550,     7.049,     0.206,     0.384,    8
 0,    30.973,    -1.102,     4.606,     0.129,     0.482,    6
 0,    30.487,     0.579,     4.942,     0.135,     0.416,    7
 0,    25.341,     0.501,     4.641,     0.178,     0.465,    5
 0,    24.832,    -0.693,     5.549,     0.214,     0.420,    6
 0,    24.571,     0.537,     5.198,     0.192,     0.478,    5
 0,    23.550,     0.080,     5.272,     0.199,     0.446,    6
 0,    23.130,     0.597,     5.638,     0.231,     0.461,    5
 0,    23.014,     0.239,     4.300,     0.157,     0.636,    4
 0,    22.133,    -2.094,     3.794,     0.162,     0.459,    5
 0,    20.308,    -2.202,     3.098,     0.147,     0.457,    5
 1,   353.716,     0.382,    10.416,     0.007,     0.985,    2
 1,    66.849,    -2.816,     7.475,     0.076,     0.659,    3
 0,    46.894,     0.856,     9.347,     0.181,     0.331,   10
 0,    29.024,     1.080,     6.418,     0.204,     0.385,    7
 0,    25.752,    -3.503,     4.029,     0.141,     0.767,    2
 0,    25.251,     0.488,     4.661,     0.149,     0.561,    5
 0,    22.644,     0.487,     3.343,     0.112,     0.740,    3
 0,    22.272,     1.940,     4.253,     0.164,     0.449,    5
 0,    20.806,    -1.170,     1.940,     0.077,     0.664,    3
 0,    20.724,    -1.337,     4.325,     0.187,     0.455,    5
 0,    20.444,     1.536,     4.149,     0.174,     0.530,    4
 1,   168.564,    -2.497,     2.808,     0.008,     0.934,    2
 0,   130.146,    -1.947,     9.151,     0.040,     0.605,    6
 0,    56.192,    -4.470,     7.935,     0.105,     0.848,    2
 0,    36.230,    -1.231,     7.273,     0.195,     0.396,    7
 0,    28.960,    -1.519,     6.674,     0.217,     0.484,    5
 0,    25.238,     0.195,     4.627,     0.180,     0.633,    3
 0,    24.371,    -1.311,     2.999,     0.120,     0.590,    3
 0,    24.036,    -0.125,     6.026,     0.242,     0.525,    4
 0,    23.830,     1.950,     0.374,     0.014,     0.767,    2
 0,    22.972,     0.998,     3.635,     0.127,     0.696,    3
 0,    22.000,     0.219,     4.206,     0.185,     0.553,    4
 0,    21.845,    -0.896,     3.725,     0.154,     0.603,    3
 0,    21.806,     0.835,     3.309,     0.133,     0.453,    5
 0,    20.602,    -1.699,     3.475,     0.145,     0.521,    4
 0,    20.563,    -0.185,     3.995,     0.189,     0.517,    4
 0,    20.407,    -0.028,     3.707,     0.171,     0.504,    4
 0,    20.404,    -0.111,     4.694,     0.214,     0.453,    5
 1,  1171.683,    -0.116,     0.000,     0.000,     1.000,    1
 0,    54.282,    -0.156,     5.533,     0.055,     0.925,    2
 0,    35.652,    -0.104,     7.848,     0.202,     0.386,    7
 0,    31.336,    -1.088,     6.909,     0.198,     0.448,    6
 0,    27.414,     1.235,     4.165,     0.127,     0.660,    3
 0,    26.085,     0.626,     4.301,     0.158,     0.414,    6
 0,    23.621,    -1.182,     2.767,     0.110,     0.517,    4
 0,    21.931,     3.240,     3.013,     0.100,     0.857,    2
 1,   339.074,     0.564,     0.000,     0.000,     1.000,    1
 1,   208.135,    -3.173,    16.948,     0.057,     0.656,    5
 0,    87.844,     3.093,    17.352,     0.188,     0.377,    9
 0,    71.406,     1.192,     9.547,     0.113,     0.407,    9
 1,    58.020,     4.455,     7.352,     0.111,     0.783,    2
 0,    28.636,    -1.149,     4.234,     0.120,     0.471,    6
 0,    27.088,    -0.719,     4.799,     0.160,     0.483,    5
 0,    26.972,     1.162,     6.028,     0.196,     0.523,    5
 0,    23.970,    -2.888,     1.400,     0.057,     0.725,    2
 0,    23.830,     2.035,     4.602,     0.181,     0.533,    5
 0,    20.018,     3.733,     0.000,     0.000,     1.000,    1
 1,   413.362,     2.151,    30.616,     0.022,     0.932,    7
 1,   277.715,    -0.432,    18.079,     0.022,     0.951,    5
 1,   174.728,    -2.082,    10.318,     0.031,     0.803,    5
 0,    46.602,     2.588,     6.535,     0.117,     0.652,    4
 1,    33.467,     3.053,     2.581,     0.074,     0.734,    2
 0,    30.694,     1.413,     7.692,     0.242,     0.349,    9
 0,    29.476,     0.443,     5.935,     0.188,     0.367,    8
 0,    28.987,    -0.983,     4.789,     0.136,     0.436,    6
 0,    24.918,     3.019,     1.972,     0.062,     0.562,    4
 0,    20.095,     1.721,     4.113,     0.182,     0.396,    7
 1,   541.018,     1.140,    11.296,     0.005,     0.984,    3
 1,   153.519,    -2.760,    17.501,     0.073,     0.660,    3
 0,   133.969,    -0.446,    27.422,     0.174,     0.367,   12
 1,   101.211,    -1.467,     6.114,     0.023,     0.697,    3
 0,    57.636,    -3.057,     5.069,     0.072,     0.718,    3
 1,    51.048,     4.082,     9.245,     0.172,     0.735,    2
 0,    42.588,    -1.669,     4.346,     0.094,     0.589,    5
 0,    30.940,    -1.248,     6.033,     0.180,     0.581,    4
 0,    30.677,     1.161,     2.695,     0.059,     0.878,    2
 0,    28.428,    -0.962,     5.102,     0.161,     0.525,    4
 0,    27.937,    -4.375,     2.445,     0.087,     0.714,    2
 0,    26.427,    -2.120,     4.713,     0.161,     0.620,    4
 0,    25.705,    -3.510,     2.358,     0.080,     0.784,    2
 1,    25.066,     3.252,     4.253,     0.167,     0.627,    3
 0,    21.822,    -0.045,     4.386,     0.183,     0.557,    4
 0,    21.591,     3.617,     2.351,     0.105,     0.730,    2
 0,    20.592,     0.651,     1.983,     0.093,     0.619,    3
 1,   563.253,    -0.966,     0.000,     0.000,     1.000,    1
 1,    70.727,    -4.084,     0.000,     0.000,     1.000,    1
 1,    70.469,     4.105,     0.000,     0.000,     1.000,    1
 0,    34.998,     0.079,     7.979,     0.203,     0.397,    7
 0,    22.072,    -2.283,     3.028,     0.126,     0.461,    5
 0,    22.026,    -0.077,     5.115,     0.214,     0.453,    5
 1,   182.330,    -0.185,     9.484,     0.015,     0.948,    5
 0,    46.124,     1.301,     7.497,     0.154,     0.470,    7
 1,    27.249,     3.968,     0.000,     0.000,     1.000,    1
 0,    26.166,     2.221,     4.695,     0.164,     0.352,    9
 0,    25.188,    -2.802,     1.391,     0.053,     0.731,    2
 0,    21.919,    -1.756,     4.809,     0.203,     0.364,    8
 0,    21.085,    -1.496,     4.553,     0.207,     0.404,    7
 1,   555.038,     1.555,    18.979,     0.006,     0.974,    5
 1,    53.062,    -3.930,     8.520,     0.157,     0.716,    2
 0,    23.823,    -1.761,     3.725,     0.123,     0.424,    6
 0,    23.456,    -4.016,     0.000,     0.000,     1.000,    1
 0,    22.109,    -1.179,     0.000,     0.000,     1.000,    1
 0,    21.840,    -0.279,     4.433,     0.191,     0.524,    4
 0,    20.552,     1.503,     4.087,     0.187,     0.548,    5
 0,    20.290,     0.194,     2.684,     0.122,     0.602,    3
 1,   631.459,     0.755,    34.947,     0.017,     0.973,    5
 1,    87.429,    -3.243,     8.376,     0.049,     0.731,    3
 1,    68.262,     4.275,     0.000,     0.000,     1.000,    1
 0,    59.305,     1.252,     8.987,     0.126,     0.432,    9
 0,    41.334,    -0.756,     4.841,     0.090,     0.827,    3
 0,    33.551,    -1.101,     5.240,     0.142,     0.697,    3
 0,    27.709,    -1.191,     4.926,     0.160,     0.489,    5
 0,    24.757,     0.183,     5.261,     0.198,     0.499,    5
 0,    24.174,     1.301,     3.403,     0.112,     0.641,    3
 0,    20.776,     2.054,     4.103,     0.182,     0.415,    6
 1,   103.064,    -3.514,     0.000,     0.000,     1.000,    1
 1,    62.929,     4.285,     0.000,     0.000,     1.000,    1
 0,    50.172,    -2.010,     6.376,     0.093,     0.628,    5
 0,    47.608,    -0.175,     7.317,     0.127,     0.421,    8
 0,    42.477,     2.888,     0.705,     0.015,     0.759,    2
 0,    33.728,     2.047,     5.406,     0.102,     0.746,    4
 0,    33.102,     0.241,     6.942,     0.193,     0.366,    8
 0,    28.852,    -1.072,     5.730,     0.171,     0.407,    7
 0,    26.705,    -1.347,     6.597,     0.228,     0.354,    8
 0,    20.249,    -0.789,     4.437,     0.208,     0.417,    6
 1,   915.056,    -0.386,    10.099,     0.001,     0.997,    2
 1,   678.178,    -0.347,    32.630,     0.011,     0.972,    6
 0,    41.670,    -4.495,     6.808,     0.154,     0.738,    2
 0,    34.039,     0.632,     7.467,     0.205,     0.436,    6
 1,    31.031,     3.592,     0.000,     0.000,     1.000,    1
 0,    28.602,    -1.092,     5.781,     0.173,     0.617,    4
 0,    23.731,     2.035,     4.752,     0.156,     0.437,    6
 0,    23.314,    -0.016,     5.004,     0.194,     0.412,    6
 0,    23.128,     0.940,     4.119,     0.167,     0.557,    4
 0,    21.946,    -0.129,     4.353,     0.185,     0.459,    5
 0,    21.048,    -0.935,     3.875,     0.154,     0.553,    4
 1,  1004.209,    -0.040,    62.403,     0.017,     0.963,    8
 1,   251.354,    -0.187,    10.388,     0.013,     0.969,    3
 1,   102.319,     2.748,    12.348,     0.084,     0.868,    2
 0,    35.276,    -1.804,     5.570,     0.131,     0.391,    7
 0,    33.842,     1.863,     6.152,     0.161,     0.474,    6
 0,    33.352,     1.147,     5.905,     0.161,     0.538,    5
 0,    32.379,     1.038,     6.180,     0.163,     0.421,    6
 0,    31.759,     2.193,     5.056,     0.138,     0.428,    7
 0,    31.493,     0.499,     6.391,     0.186,     0.433,    6
 0,    25.002,     2.893,     4.870,     0.181,     0.539,    4
 0,    24.581,     0.689,     4.330,     0.163,     0.489,    5
 0,    22.652,     4.114,     3.034,     0.102,     0.843,    2
 0,    21.607,    -2.069,     4.142,     0.175,     0.411,    6
 0,    20.034,     1.903,     3.893,     0.181,     0.533,    4
 0,    28.399,    -1.146,     7.004,     0.229,     0.415,    7
 0,    28.024,    -1.900,     4.309,     0.139,     0.518,    5
 0,    21.951,    -1.561,     4.389,     0.196,     0.472,    5
 1,    21.348,     3.900,     0.000,     0.000,     1.000,    1
 0,    21.344,    -0.303,     3.759,     0.166,     0.412,    6
 0,    20.907,    -0.852,     3.756,     0.161,     0.421,    6
 0,    20.207,    -0.358,     3.779,     0.160,     0.552,    4
 1,   885.956,     0.197,     7.802,     0.001,     0.996,    2
 1,   699.095,     0.912,     0.000,     0.000,     1.000,    1
 1,    42.650,     3.927,     0.000,     0.000,     1.000,    1
 1,    40.435,    -3.635,     0.000,     0.000,     1.000,    1
 0,    31.566,     0.713,     6.998,     0.208,     0.449,    9
 0,    23.513,    -1.744,     4.704,     0.187,     0.397,    7
 0,    21.023,     2.154,     4.767,     0.209,     0.373,    8
 0,    20.004,     0.026,     3.836,     0.170,     0.490,    5
 1,    86.455,    -3.016,     9.851,     0.091,     0.609,    4
 1,    39.100,     3.505,     4.004,     0.097,     0.742,    2
 0,    32.024,    -0.493,     7.372,     0.218,     0.414,    7
 1,    30.597,    -0.305,     5.331,     0.169,     0.573,    5
 1,   359.082,     1.032,    17.598,     0.013,     0.969,    4
 1,   166.383,    -1.699,     9.914,     0.017,     0.963,    3
 1,    35.419,    -3.383,     1.790,     0.037,     0.665,    3
 0,    32.416,    -0.508,     6.266,     0.177,     0.364,    8
 0,    30.489,    -1.458,     6.673,     0.197,     0.413,    7
 0,    24.200,    -1.079,     3.739,     0.131,     0.433,    6
 0,    60.002,     2.761,     8.478,     0.123,     0.557,    4
 1,    45.560,     3.977,     0.000,     0.000,     1.000,    1
 0,    41.688,    -1.703,     6.408,     0.121,     0.430,    6
 0,    40.312,    -1.145,     6.107,     0.097,     0.691,    4
 0,    36.465,     1.026,     7.789,     0.208,     0.511,    5
 0,    35.501,    -1.149,     6.038,     0.159,     0.390,    7
 0,    29.873,     0.643,     5.085,     0.163,     0.537,    4
 0,    29.581,     0.900,     5.286,     0.166,     0.479,    5
 0,    25.505,    -2.703,     2.801,     0.109,     0.584,    3
 0,    24.856,    -0.710,     5.132,     0.193,     0.509,    4
 1,    24.356,    -3.088,     4.335,     0.159,     0.629,    3
 0,    23.977,    -0.640,     1.909,     0.070,     0.601,    3
 0,    21.940,    -0.590,     3.449,     0.135,     0.544,    4
 1,   477.978,    -1.506,    12.000,     0.010,     0.851,    4
 1,    79.413,     4.220,     0.000,     0.000,     1.000,    1
 0,    64.978,     1.050,     5.827,     0.048,     0.868,    4
 0,    39.667,     1.696,     5.718,     0.110,     0.579,    6
 0,    24.632,     0.246,     4.861,     0.173,     0.428,    6
 0,    22.587,    -3.615,     3.878,     0.122,     0.640,    3
 1,   466.834,     0.721,    15.517,     0.007,     0.990,    2
 1,   124.429,     2.852,     6.477,     0.019,     0.965,    2
 1,    92.409,    -2.741,     8.573,     0.048,     0.928,    3
 0,    36.410,    -2.394,     7.133,     0.179,     0.369,    9
 0,    31.116,     0.215,     7.402,     0.215,     0.422,    6
 0,    28.320,    -0.930,     4.755,     0.141,     0.559,    4
 0,    26.080,    -2.170,     6.165,     0.225,     0.385,    7
 0,    24.738,    -3.109,     0.000,     0.000,     1.000,    1
 0,    24.321,    -1.447,     4.144,     0.103,     0.736,    3
 0,    22.651,     0.633,     4.383,     0.167,     0.422,    6
 0,    21.719,    -0.744,     5.006,     0.207,     0.478,    5
 1,   785.733,     0.746,     0.000,     0.000,     1.000,    1
 0,    95.329,    -1.716,     9.716,     0.068,     0.500,    8
 0,    89.559,    -0.586,     5.917,     0.029,     0.658,    4
 0,    75.061,    -0.506,    14.539,     0.167,     0.434,   10
 0,    59.135,    -1.588,    14.909,     0.233,     0.262,   16
 1,    35.373,     3.418,     3.005,     0.049,     0.914,    2
 0,    31.649,    -1.246,     6.207,     0.180,     0.404,    7
 0,    30.064,    -0.568,     6.295,     0.188,     0.400,    7
 0,    25.130,    -1.844,     5.565,     0.193,     0.394,    7
 0,    24.854,    -2.918,     0.000,     0.000,     1.000,    1
 0,    24.190,    -0.229,     5.045,     0.194,     0.496,    5
 0,    23.281,    -2.474,     4.491,     0.174,     0.527,    5
 0,    23.088,     0.620,     4.363,     0.173,     0.386,    7
 0,    22.930,    -1.582,     5.099,     0.205,     0.405,    7
 0,    22.486,     0.374,     3.885,     0.143,     0.444,    6
 0,    21.224,    -0.012,     4.089,     0.182,     0.518,    4
 0,    20.925,    -2.124,     2.824,     0.120,     0.452,    5
 0,    20.733,    -1.213,     3.016,     0.127,     0.536,    4
 0,    20.321,    -2.913,     0.000,     0.000,     1.000,    1
 0,   189.929,     3.108,     2.275,     0.011,     0.760,    2
 0,   151.151,     1.600,    21.092,     0.100,     0.410,   17
 1,    81.723,    -3.251,     6.196,     0.063,     0.778,    3
 0,    58.769,    -0.487,    11.338,     0.173,     0.386,   10
 0,    45.289,    -0.420,     8.383,     0.150,     0.440,    9
 1,    43.288,     3.641,     0.000,     0.000,     1.000,    1
 0,    42.553,     1.302,     8.653,     0.171,     0.372,    9
 0,    40.632,     1.244,     5.660,     0.122,     0.388,    8
 0,    36.221,    -1.662,     4.264,     0.097,     0.409,    7
 0,    33.278,    -1.261,     4.021,     0.100,     0.811,    2
 0,    30.175,     0.300,     5.625,     0.167,     0.426,    7
 0,    27.982,     1.205,     3.466,     0.096,     0.493,    5
 0,    26.824,    -0.974,     6.200,     0.223,     0.427,    6
 0,    25.500,     2.149,     5.331,     0.187,     0.400,    7
 0,    24.877,     0.643,     5.369,     0.189,     0.400,    7
 0,    23.743,    -0.678,     4.508,     0.160,     0.430,    6
 0,    21.896,     1.465,     3.198,     0.120,     0.476,    5
 1,   707.834,    -0.563,    22.835,     0.007,     0.981,    3
 1,   311.726,     0.561,     8.305,     0.005,     0.978,    3
 0,    74.309,     1.148,    15.136,     0.172,     0.476,    7
 1,    44.916,     3.319,     6.922,     0.131,     0.550,    4
 0,    34.153,     2.494,     7.013,     0.191,     0.418,    6
 0,    33.116,     0.496,     4.432,     0.099,     0.656,    4
 0,    26.774,     1.164,     4.021,     0.135,     0.719,    3
 0,    24.662,    -1.280,     4.887,     0.186,     0.700,    3
 0,    24.336,     1.190,     4.241,     0.172,     0.512,    4
 1,   323.642,     0.677,    24.318,     0.026,     0.952,    3
