background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,30.818,5.737,0.159,0.654,6
1,153.69,5.152,0.017,0.839,3
1,107.588,11.851,0.066,0.652,7
1,87.216,8.067,0.06,0.719,6
1,34.191,0.746,0.02,0.765,2
1,48.123,3.046,0.035,0.786,3
1,229.819,38.823,0.149,0.534,7
1,37.771,6.074,0.136,0.608,4
0,62.536,10.598,0.134,0.558,5
1,116.672,7.529,0.033,0.741,4
1,185.514,9.42,0.014,0.981,3
1,124.303,14.062,0.075,0.477,7
1,85.79,7.827,0.057,0.674,5
1,130.991,16.165,0.086,0.534,8
0,20.952,2.95,0.106,0.843,2
1,30.142,3.36,0.086,0.839,2
1,72.427,4.268,0.041,0.818,4
1,59.807,7.972,0.108,0.616,4
1,76.086,8.654,0.087,0.588,6
0,34.01,6.479,0.176,0.547,5
0,20.379,2.503,0.109,0.777,2
1,350.065,19.328,0.017,0.945,6
1,43.235,2.29,0.039,0.769,3
0,41.848,3.558,0.079,0.621,4
1,83.503,2.424,0.009,0.975,2
0,35.485,5.287,0.144,0.726,2
1,267.021,0.0,0.0,1.0,1
1,66.936,16.083,0.228,0.502,12
0,25.456,3.005,0.086,0.829,3
0,21.021,4.179,0.174,0.557,6
1,20.447,0.0,0.0,1.0,1
0,23.612,3.734,0.15,0.74,2
1,26.131,2.671,0.091,0.503,5
1,64.596,6.976,0.085,0.615,5
1,54.726,8.963,0.143,0.66,3
0,24.171,4.386,0.167,0.52,6
1,26.69,2.879,0.102,0.741,2
0,36.483,5.06,0.133,0.499,5
1,124.616,7.289,0.053,0.765,3
0,28.855,6.016,0.195,0.53,4
0,22.71,4.387,0.184,0.572,4
0,24.251,4.303,0.166,0.621,3
0,28.525,3.181,0.088,0.8,4
0,36.787,8.057,0.195,0.462,8
0,21.156,4.334,0.193,0.482,5
1,42.691,0.0,0.0,1.0,1
1,66.114,10.477,0.135,0.794,2
0,22.93,1.147,0.043,0.767,3
0,26.896,5.006,0.182,0.526,7
0,29.021,5.54,0.175,0.425,12
1,58.723,1.601,0.022,0.816,2
1,273.299,27.022,0.057,0.624,6
1,101.727,18.009,0.162,0.489,10
0,21.426,0.084,0.003,0.788,2
0,55.435,13.11,0.224,0.417,9
0,20.247,3.395,0.166,0.611,3
0,37.654,6.943,0.176,0.735,2
0,25.001,2.674,0.079,0.613,4
0,24.363,1.76,0.056,0.601,3
0,49.902,10.101,0.161,0.496,8
1,103.402,16.358,0.132,0.464,13
1,87.88,6.86,0.061,0.771,4
0,26.705,3.075,0.071,0.898,2
0,42.22,5.935,0.116,0.686,5
0,46.12,6.853,0.119,0.534,7
1,39.768,7.143,0.152,0.712,3
1,42.404,5.069,0.086,0.561,5
0,22.803,0.625,0.017,0.895,2
0,21.778,3.738,0.146,0.57,5
0,38.983,6.183,0.144,0.524,5
0,25.07,3.986,0.141,0.517,5
1,52.635,3.467,0.037,0.669,4
1,42.841,3.989,0.059,0.895,2
0,24.365,1.974,0.071,0.786,2
1,22.011,1.452,0.062,0.718,3
0,23.059,2.924,0.123,0.725,2
0,21.42,2.533,0.078,0.848,4
0,33.715,6.513,0.169,0.584,4
0,39.294,4.489,0.102,0.559,5
0,22.055,3.782,0.147,0.478,5
1,36.018,2.735,0.048,0.864,3
0,30.565,6.667,0.203,0.604,8
0,32.736,6.766,0.188,0.646,6
1,151.816,12.795,0.062,0.53,5
1,45.353,8.543,0.148,0.504,8
0,49.623,9.648,0.166,0.406,12
0,49.975,7.124,0.114,0.611,3
1,176.507,10.609,0.026,0.952,2
0,32.14,5.791,0.164,0.521,5
1,35.066,6.828,0.173,0.524,8
0,27.176,4.221,0.136,0.579,3
0,36.09,5.952,0.143,0.569,9
1,67.415,5.35,0.058,0.76,5
1,38.136,3.861,0.05,0.91,3
1,148.166,18.915,0.104,0.803,3
1,116.072,0.894,0.007,0.767,2
0,45.508,3.302,0.065,0.673,3
1,25.895,5.328,0.191,0.449,7
1,83.063,12.902,0.124,0.585,6
1,202.332,13.853,0.029,0.785,6
0,42.867,4.624,0.078,0.528,7
0,25.896,4.762,0.175,0.525,4
0,27.532,5.968,0.198,0.547,4
1,196.567,19.897,0.086,0.652,4
0,22.123,2.985,0.119,0.78,2
1,30.79,1.828,0.032,0.664,3
1,20.17,2.105,0.094,0.77,2
1,118.912,9.829,0.038,0.736,5
0,40.421,5.916,0.114,0.612,5
1,69.978,14.062,0.177,0.411,13
0,22.761,3.343,0.129,0.517,7
1,58.632,8.106,0.136,0.423,7
1,93.289,6.404,0.028,0.798,5
1,28.0,2.967,0.096,0.767,2
1,303.071,4.713,0.013,0.822,2
0,23.061,2.259,0.049,0.935,2
1,52.201,7.428,0.096,0.526,5
1,78.858,4.202,0.017,0.973,2
0,41.372,8.362,0.178,0.423,9
0,45.163,9.094,0.188,0.448,8
1,20.175,4.254,0.198,0.678,5
1,46.538,1.641,0.031,0.779,2
0,20.362,2.698,0.112,0.653,3
1,73.306,14.372,0.181,0.476,7
1,21.021,3.4,0.148,0.564,4
0,27.889,2.217,0.05,0.877,4
1,108.513,13.386,0.078,0.618,10
