background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,36.803,0.0,0.0,1.0,1
0,29.551,0.0,0.0,1.0,1
1,47.996,0.0,0.0,1.0,1
1,59.657,5.392,0.048,0.927,2
1,68.998,0.0,0.0,1.0,1
0,41.577,7.433,0.152,0.677,3
1,54.338,5.279,0.079,0.82,2
1,96.248,0.0,0.0,1.0,1
0,30.054,3.724,0.11,0.776,2
0,51.139,6.326,0.115,0.752,2
0,24.156,4.85,0.19,0.668,3
0,33.899,4.338,0.128,0.707,2
0,35.049,6.315,0.172,0.582,5
0,24.988,0.0,0.0,1.0,1
0,29.679,4.043,0.104,0.84,2
1,88.694,8.578,0.055,0.912,3
0,21.264,2.38,0.101,0.77,2
1,38.168,4.168,0.101,0.755,2
1,41.419,0.0,0.0,1.0,1
0,26.355,0.0,0.0,1.0,1
0,24.576,4.194,0.159,0.746,2
1,66.219,10.565,0.134,0.799,2
0,26.119,4.146,0.157,0.601,3
1,42.737,4.177,0.068,0.868,2
1,26.686,2.519,0.089,0.747,2
1,44.609,5.969,0.117,0.479,6
1,50.546,6.946,0.11,0.823,2
0,25.19,4.14,0.156,0.521,4
0,26.501,0.0,0.0,1.0,1
0,57.499,13.041,0.222,0.59,3
0,23.043,4.494,0.189,0.622,3
1,43.677,5.022,0.067,0.911,2
1,66.152,0.0,0.0,1.0,1
1,118.933,13.483,0.051,0.89,3
1,31.407,4.367,0.102,0.846,3
1,28.852,0.0,0.0,1.0,1
0,42.821,6.453,0.145,0.728,2
0,21.05,4.1,0.192,0.545,4
1,37.96,6.462,0.152,0.59,3
1,45.677,0.0,0.0,1.0,1
0,25.046,3.0,0.11,0.758,2
1,36.124,4.534,0.084,0.882,2
1,46.539,5.386,0.081,0.775,3
0,21.749,2.258,0.095,0.651,3
1,37.358,5.49,0.12,0.815,2
0,24.097,3.583,0.146,0.638,3
0,22.868,0.0,0.0,1.0,1
1,37.386,4.256,0.113,0.71,2
1,22.969,2.92,0.09,0.839,3
0,44.974,0.0,0.0,1.0,1
1,89.587,0.0,0.0,1.0,1
1,40.657,0.0,0.0,1.0,1
0,23.797,0.0,0.0,1.0,1
1,63.448,0.0,0.0,1.0,1
1,83.444,4.527,0.033,0.905,2
0,26.501,4.987,0.182,0.723,2
1,93.706,5.28,0.037,0.887,2
1,22.38,0.0,0.0,1.0,1
0,21.924,3.247,0.143,0.671,3
0,26.841,5.377,0.181,0.578,3
0,23.319,2.024,0.08,0.755,2
1,133.563,14.437,0.077,0.842,3
0,23.677,2.74,0.104,0.772,2
1,35.394,6.39,0.164,0.694,3
0,30.582,4.341,0.131,0.753,2
1,38.653,4.578,0.083,0.868,2
0,25.308,3.671,0.13,0.77,2
0,28.074,0.0,0.0,1.0,1
1,30.787,0.0,0.0,1.0,1
1,91.736,0.0,0.0,1.0,1
0,34.48,5.536,0.149,0.507,5
1,67.108,4.366,0.024,0.964,2
0,25.183,3.204,0.121,0.617,3
1,53.645,1.134,0.015,0.874,2
0,25.615,3.467,0.103,0.841,2
0,20.221,4.052,0.198,0.708,2
1,92.019,9.247,0.051,0.841,3
1,82.317,0.0,0.0,1.0,1
0,20.857,2.914,0.104,0.849,2
0,29.755,4.969,0.151,0.608,3
1,64.527,0.0,0.0,1.0,1
1,26.276,2.207,0.084,0.707,2
0,20.87,0.0,0.0,1.0,1
0,20.419,0.0,0.0,1.0,1
0,39.921,9.513,0.228,0.456,5
1,118.482,10.948,0.057,0.822,6
0,40.27,0.0,0.0,1.0,1
1,38.919,3.337,0.077,0.775,2
1,52.596,0.0,0.0,1.0,1
0,25.259,4.146,0.15,0.59,3
1,72.699,0.0,0.0,1.0,1
0,35.846,0.0,0.0,1.0,1
1,27.528,0.0,0.0,1.0,1
1,20.388,0.0,0.0,1.0,1
0,24.456,0.0,0.0,1.0,1
0,25.836,0.0,0.0,1.0,1
1,74.966,12.309,0.103,0.757,4
0,20.747,2.92,0.124,0.633,3
1,47.828,5.537,0.112,0.726,2
0,21.481,0.0,0.0,1.0,1
0,34.859,0.0,0.0,1.0,1
