background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,20.668,4.249,0.191,0.328,22
0,23.166,4.597,0.172,0.31,15
1,525.258,33.822,0.02,0.924,15
0,20.649,4.168,0.185,0.288,17
1,108.697,7.07,0.03,0.933,4
1,105.826,19.097,0.152,0.453,20
0,34.978,8.879,0.229,0.32,26
0,22.537,4.663,0.182,0.328,16
0,31.793,5.296,0.135,0.515,10
0,20.24,5.011,0.227,0.27,18
0,37.076,8.511,0.197,0.263,25
0,20.654,5.338,0.245,0.29,19
0,21.58,3.856,0.158,0.319,18
0,339.903,11.425,0.009,0.965,5
0,25.095,4.721,0.163,0.257,19
1,61.593,5.057,0.053,0.712,8
0,21.446,2.836,0.123,0.515,8
0,23.721,6.182,0.24,0.234,25
1,89.271,5.268,0.019,0.919,4
1,84.248,11.981,0.095,0.431,17
0,100.105,11.865,0.095,0.346,14
1,65.136,10.493,0.135,0.315,19
1,43.334,3.549,0.036,0.906,7
0,23.414,4.736,0.18,0.298,13
1,334.441,22.821,0.023,0.941,8
0,33.111,6.826,0.181,0.292,18
1,332.065,12.238,0.015,0.84,7
1,96.009,11.788,0.1,0.44,13
1,70.812,5.343,0.043,0.587,7
1,164.857,5.955,0.007,0.983,3
0,23.924,3.734,0.15,0.483,5
1,32.855,6.905,0.196,0.275,19
0,158.772,20.583,0.083,0.466,25
0,20.056,4.818,0.225,0.386,10
0,30.251,7.3,0.225,0.264,17
0,23.74,5.646,0.216,0.314,13
0,23.65,4.727,0.178,0.289,17
1,86.877,5.658,0.028,0.889,11
1,200.983,12.688,0.026,0.932,7
0,25.466,4.326,0.147,0.319,13
0,24.752,6.675,0.254,0.288,17
1,108.065,9.583,0.05,0.628,11
0,26.753,5.406,0.167,0.281,17
1,815.248,69.35,0.046,0.6,22
1,298.774,20.594,0.017,0.942,11
1,26.973,5.182,0.174,0.338,11
0,20.882,4.863,0.207,0.301,17
0,27.09,5.368,0.165,0.329,15
0,20.359,4.386,0.203,0.412,11
0,22.469,5.578,0.219,0.233,24
1,114.482,12.521,0.069,0.659,14
1,114.373,17.306,0.107,0.399,27
0,21.334,4.74,0.206,0.251,22
1,92.842,11.163,0.07,0.472,12
1,58.328,10.06,0.15,0.462,17
0,358.354,34.24,0.068,0.626,17
1,393.268,31.266,0.026,0.923,12
0,21.187,4.161,0.171,0.304,16
1,36.571,4.205,0.094,0.492,9
1,572.37,32.892,0.018,0.92,11
1,157.967,16.238,0.06,0.592,19
1,107.381,11.105,0.051,0.825,11
0,24.435,6.347,0.241,0.31,22
0,31.836,7.009,0.201,0.259,18
0,20.076,3.458,0.134,0.439,9
1,159.477,16.842,0.066,0.639,17
0,25.6,5.931,0.211,0.322,17
1,53.669,5.143,0.051,0.559,6
1,92.403,10.869,0.077,0.599,18
0,31.04,7.602,0.227,0.219,28
1,172.883,14.972,0.057,0.557,15
1,88.987,6.858,0.027,0.92,8
1,118.462,8.777,0.048,0.454,13
1,70.393,7.366,0.05,0.774,8
1,66.619,7.742,0.08,0.417,14
0,21.4,4.73,0.21,0.36,11
1,384.622,30.652,0.034,0.892,18
0,25.895,6.246,0.223,0.256,20
1,292.432,19.516,0.018,0.936,10
0,30.615,5.823,0.175,0.258,25
0,26.446,5.561,0.182,0.248,20
1,96.365,12.319,0.082,0.807,9
0,33.015,7.077,0.194,0.275,20
1,317.37,26.086,0.034,0.874,14
1,123.368,9.905,0.033,0.927,6
1,112.716,15.241,0.073,0.836,9
1,96.324,13.737,0.121,0.263,25
1,460.47,17.976,0.008,0.949,7
0,27.638,6.757,0.219,0.277,19
0,20.835,4.886,0.213,0.232,26
0,289.743,37.7,0.111,0.424,17
1,39.657,5.332,0.094,0.811,7
0,28.53,6.924,0.219,0.279,18
0,23.763,5.84,0.221,0.267,23
1,146.871,13.171,0.056,0.56,15
1,30.666,6.577,0.193,0.293,20
1,56.178,7.452,0.096,0.452,16
0,32.659,7.88,0.216,0.243,23
1,42.862,8.35,0.164,0.287,19
0,192.617,21.356,0.06,0.698,17
0,22.777,4.685,0.191,0.317,14
0,22.001,4.023,0.162,0.338,16
0,29.042,5.647,0.161,0.311,15
0,26.771,6.05,0.205,0.344,14
0,23.031,5.415,0.218,0.318,17
1,163.112,10.272,0.021,0.946,7
1,24.536,4.536,0.173,0.497,14
1,111.205,8.48,0.048,0.581,10
0,35.646,8.227,0.216,0.225,29
0,23.43,4.727,0.188,0.315,17
0,110.447,14.088,0.075,0.727,12
1,45.037,7.903,0.147,0.252,21
1,232.002,20.758,0.058,0.619,9
1,108.342,8.567,0.034,0.912,6
1,47.361,6.274,0.089,0.399,14
0,21.273,4.0,0.168,0.278,21
1,146.333,13.485,0.04,0.822,13
0,22.657,3.669,0.095,0.708,7
1,271.501,19.54,0.025,0.923,8
1,145.703,12.814,0.046,0.882,9
1,95.245,7.656,0.049,0.838,9
1,186.401,5.635,0.013,0.686,8
1,898.273,45.888,0.013,0.96,12
1,22.466,5.074,0.182,0.292,16
1,209.838,17.819,0.032,0.917,11
1,379.191,29.361,0.026,0.922,13
0,27.302,6.245,0.212,0.327,14
0,885.415,34.123,0.005,0.986,9
1,182.397,29.288,0.133,0.332,29
1,51.169,4.925,0.052,0.582,8
1,155.57,17.535,0.057,0.86,11
0,163.672,17.54,0.053,0.593,13
0,29.167,6.102,0.183,0.274,20
0,24.799,5.495,0.193,0.397,10
1,155.145,22.268,0.088,0.714,25
1,143.631,13.76,0.073,0.396,17
0,22.466,4.661,0.185,0.551,9
1,340.369,18.566,0.01,0.968,8
0,20.303,4.43,0.192,0.319,16
1,296.28,15.743,0.015,0.944,9
0,22.669,4.468,0.183,0.287,16
1,199.242,14.092,0.033,0.721,10
1,91.802,12.253,0.08,0.477,19
0,255.95,26.93,0.066,0.56,20
1,405.701,40.931,0.036,0.912,16
0,23.948,5.503,0.207,0.284,15
0,22.989,3.436,0.121,0.342,16
1,134.093,16.609,0.07,0.542,14
0,24.308,3.311,0.118,0.415,14
0,27.653,6.432,0.204,0.315,14
1,32.135,0.878,0.015,0.898,5
1,46.497,8.862,0.159,0.392,13
1,112.314,12.929,0.056,0.853,14
0,29.532,6.459,0.199,0.278,19
1,298.959,30.59,0.066,0.442,20
0,21.984,4.291,0.178,0.45,10
0,21.567,5.314,0.224,0.281,18
1,136.369,19.881,0.117,0.445,15
1,78.05,6.526,0.035,0.856,10
0,52.286,4.597,0.067,0.486,8
0,29.861,3.03,0.086,0.443,7
1,341.877,17.802,0.031,0.633,11
0,143.088,23.221,0.132,0.274,29
1,33.282,6.344,0.17,0.395,12
1,113.764,16.429,0.109,0.447,25
1,269.107,21.242,0.029,0.887,15
