background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,73.493,2.806,0.036,0.742,2
0,20.565,3.606,0.171,0.579,4
1,59.335,8.18,0.114,0.672,6
0,24.66,5.324,0.209,0.64,4
0,28.263,4.2,0.128,0.524,6
0,44.871,7.518,0.164,0.618,3
0,36.817,6.714,0.133,0.669,4
0,25.802,5.295,0.17,0.453,6
1,31.935,3.886,0.115,0.742,2
1,41.127,3.866,0.067,0.623,4
0,20.805,1.878,0.088,0.669,3
0,25.09,4.666,0.172,0.673,4
0,24.202,4.919,0.168,0.532,6
0,43.196,5.732,0.112,0.541,4
1,60.097,9.765,0.122,0.537,14
0,33.811,4.094,0.118,0.468,6
1,75.398,3.839,0.033,0.868,3
1,22.771,1.647,0.065,0.744,3
0,23.451,3.427,0.144,0.711,2
0,21.671,4.684,0.202,0.528,8
1,117.459,11.046,0.061,0.647,3
1,21.933,2.531,0.086,0.678,4
1,44.277,5.498,0.071,0.771,5
0,31.541,8.044,0.238,0.363,11
1,126.862,17.965,0.09,0.718,9
1,64.675,7.04,0.088,0.82,2
1,33.182,5.783,0.159,0.554,4
1,61.298,7.19,0.083,0.786,3
1,79.049,1.602,0.02,0.71,2
0,27.337,2.665,0.061,0.675,3
1,57.155,0.0,0.0,1.0,1
0,32.149,2.503,0.053,0.646,5
1,58.799,9.318,0.135,0.794,2
1,141.562,10.969,0.032,0.953,4
1,55.302,3.74,0.044,0.802,5
1,65.996,6.55,0.059,0.72,7
1,42.198,7.761,0.167,0.449,5
1,28.356,2.611,0.049,0.801,5
1,121.485,24.597,0.18,0.416,9
1,81.508,11.789,0.118,0.517,7
1,78.965,11.846,0.101,0.567,5
0,33.614,5.994,0.167,0.462,5
0,54.43,6.798,0.081,0.606,5
1,169.049,12.99,0.041,0.724,5
1,43.727,0.0,0.0,1.0,1
0,27.144,3.323,0.084,0.56,6
1,63.407,6.304,0.056,0.809,3
1,38.114,5.679,0.146,0.717,2
1,20.713,0.567,0.026,0.735,2
1,65.705,7.713,0.09,0.789,4
1,88.176,15.61,0.162,0.489,10
1,177.479,18.037,0.063,0.767,4
1,103.678,2.894,0.005,0.993,2
1,70.752,10.623,0.133,0.695,3
1,81.49,12.108,0.132,0.574,5
1,33.137,3.433,0.081,0.58,4
1,90.443,1.741,0.013,0.869,2
0,26.313,3.571,0.121,0.772,2
1,161.755,26.855,0.14,0.569,8
0,32.842,5.751,0.161,0.656,3
1,57.487,4.335,0.051,0.696,3
1,147.572,10.593,0.042,0.796,4
0,55.196,8.453,0.138,0.572,5
1,58.283,0.571,0.008,0.814,2
