background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,56.993,8.281,0.117,0.698,3
1,39.779,0.0,0.0,1.0,1
1,87.677,10.857,0.087,0.866,2
0,34.486,4.734,0.137,0.707,2
0,21.66,2.32,0.105,0.717,2
1,64.142,10.997,0.156,0.7,3
0,25.377,5.412,0.203,0.593,3
0,26.122,0.0,0.0,1.0,1
0,23.875,0.0,0.0,1.0,1
1,63.942,0.0,0.0,1.0,1
0,20.246,2.553,0.123,0.725,2
0,46.221,6.897,0.143,0.591,3
0,31.111,0.0,0.0,1.0,1
0,44.205,8.935,0.193,0.526,4
0,24.279,0.0,0.0,1.0,1
1,35.732,4.16,0.091,0.832,2
1,38.13,0.0,0.0,1.0,1
1,72.835,8.169,0.078,0.872,2
1,97.064,16.258,0.151,0.678,4
0,20.401,3.572,0.171,0.718,2
0,25.453,0.0,0.0,1.0,1
1,57.676,4.586,0.049,0.899,2
1,55.476,0.0,0.0,1.0,1
1,21.697,2.451,0.112,0.601,3
1,41.729,0.0,0.0,1.0,1
1,37.145,4.173,0.108,0.732,2
1,28.514,0.0,0.0,1.0,1
0,32.557,5.002,0.152,0.708,2
1,69.176,0.0,0.0,1.0,1
0,29.614,4.078,0.137,0.708,2
1,24.467,1.568,0.055,0.794,2
1,45.369,0.0,0.0,1.0,1
0,20.98,0.0,0.0,1.0,1
1,71.374,0.0,0.0,1.0,1
0,20.438,3.576,0.167,0.578,3
0,22.755,3.073,0.125,0.54,4
0,21.809,3.418,0.155,0.584,3
1,42.78,0.0,0.0,1.0,1
1,100.855,4.888,0.02,0.955,2
0,29.905,0.0,0.0,1.0,1
1,36.78,2.967,0.079,0.718,2
1,46.017,8.196,0.166,0.652,3
0,24.036,5.245,0.202,0.517,4
1,168.43,12.963,0.034,0.914,3
0,56.438,11.716,0.199,0.63,3
0,55.85,0.0,0.0,1.0,1
1,46.874,0.0,0.0,1.0,1
1,39.047,7.179,0.172,0.651,3
1,33.759,4.166,0.113,0.76,2
0,30.731,0.0,0.0,1.0,1
0,21.574,0.0,0.0,1.0,1
0,26.789,0.0,0.0,1.0,1
0,24.818,3.173,0.092,0.86,2
0,20.447,1.727,0.078,0.757,2
1,48.13,2.845,0.038,0.889,2
1,20.541,0.0,0.0,1.0,1
0,29.668,5.687,0.187,0.578,3
1,45.344,7.395,0.152,0.695,3
1,53.29,11.458,0.18,0.533,5
0,21.119,0.0,0.0,1.0,1
0,35.603,0.0,0.0,1.0,1
0,32.072,4.504,0.12,0.793,2
0,27.29,4.987,0.18,0.715,2
0,21.802,0.0,0.0,1.0,1
1,37.147,5.006,0.117,0.686,3
1,27.08,0.0,0.0,1.0,1
0,22.825,0.0,0.0,1.0,1
1,70.033,0.0,0.0,1.0,1
1,31.018,3.978,0.121,0.742,2
0,24.662,3.893,0.157,0.708,2
1,46.443,4.358,0.08,0.797,2
0,21.652,3.689,0.167,0.619,3
0,30.119,6.325,0.199,0.638,3
0,75.382,17.605,0.224,0.561,4
0,24.184,0.0,0.0,1.0,1
1,29.657,4.59,0.131,0.801,2
1,23.136,0.0,0.0,1.0,1
1,29.964,2.498,0.079,0.738,2
0,30.052,6.536,0.188,0.628,3
0,31.254,4.684,0.146,0.72,2
0,21.309,3.149,0.143,0.58,3
0,22.44,3.439,0.152,0.71,2
1,42.737,4.177,0.068,0.868,2
1,68.386,6.109,0.068,0.813,3
1,43.921,3.128,0.043,0.807,3
1,163.073,24.392,0.11,0.699,5
1,37.694,6.911,0.177,0.723,2
1,29.111,0.0,0.0,1.0,1
0,22.792,3.316,0.132,0.763,2
1,37.875,0.0,0.0,1.0,1
0,38.593,7.644,0.191,0.637,3
1,124.244,0.0,0.0,1.0,1
0,25.417,0.0,0.0,1.0,1
0,22.385,5.006,0.217,0.595,3
0,34.051,4.076,0.114,0.74,2
0,29.49,3.175,0.102,0.742,2
0,22.969,0.0,0.0,1.0,1
1,72.68,12.469,0.163,0.598,3
0,21.893,3.146,0.142,0.712,2
0,24.631,4.026,0.149,0.762,2
0,21.751,2.679,0.113,0.588,3
0,28.06,4.184,0.13,0.692,3
1,76.286,8.067,0.067,0.894,2
0,20.732,2.714,0.111,0.798,2
1,86.296,0.0,0.0,1.0,1
0,35.219,0.0,0.0,1.0,1
1,59.306,0.0,0.0,1.0,1
0,20.857,2.914,0.104,0.849,2
1,48.163,6.29,0.102,0.831,2
0,28.475,4.641,0.15,0.756,2
0,21.422,0.0,0.0,1.0,1
0,27.089,0.0,0.0,1.0,1
1,29.234,3.754,0.126,0.717,2
0,20.044,3.016,0.146,0.725,2
1,86.444,11.915,0.101,0.855,2
0,26.02,0.0,0.0,1.0,1
1,41.63,0.0,0.0,1.0,1
1,40.005,7.967,0.174,0.506,4
1,22.731,2.154,0.085,0.77,2
1,50.476,5.862,0.089,0.841,2
0,20.263,2.252,0.107,0.732,2
1,45.353,8.669,0.18,0.64,3
1,32.93,0.0,0.0,1.0,1
0,21.595,1.922,0.069,0.837,2
0,27.396,0.0,0.0,1.0,1
0,30.589,4.836,0.156,0.715,2
1,88.865,8.863,0.077,0.699,3
1,92.698,14.704,0.121,0.653,5
0,21.196,0.0,0.0,1.0,1
1,36.77,4.007,0.076,0.868,2
1,49.427,0.0,0.0,1.0,1
0,42.404,8.066,0.188,0.707,2
0,26.183,2.612,0.099,0.712,2
0,23.4,4.41,0.183,0.722,2
0,25.376,0.0,0.0,1.0,1
0,22.274,0.0,0.0,1.0,1
0,25.662,4.557,0.168,0.54,4
0,24.874,0.0,0.0,1.0,1
0,21.389,3.521,0.162,0.611,3
1,82.995,0.0,0.0,1.0,1
0,25.299,4.05,0.151,0.605,3
1,34.349,0.0,0.0,1.0,1
0,28.258,4.184,0.141,0.581,3
1,30.423,3.264,0.097,0.768,2
1,47.388,0.0,0.0,1.0,1
0,34.542,4.088,0.117,0.712,2
0,20.353,1.633,0.08,0.712,2
0,47.302,5.723,0.11,0.672,3
1,22.919,3.133,0.123,0.582,3
0,21.014,0.0,0.0,1.0,1
1,46.842,0.0,0.0,1.0,1
0,20.858,1.725,0.081,0.72,2
0,26.345,4.945,0.173,0.544,4
0,30.701,3.248,0.08,0.634,3
1,33.354,0.0,0.0,1.0,1
1,35.399,3.87,0.086,0.83,2
1,43.376,0.0,0.0,1.0,1
0,39.004,6.395,0.153,0.744,2
1,42.353,4.291,0.089,0.782,2
0,38.296,5.77,0.149,0.714,2
0,28.04,3.471,0.118,0.735,2
1,44.035,6.834,0.123,0.826,2
1,25.245,0.0,0.0,1.0,1
0,25.998,2.32,0.069,0.836,2
1,45.227,7.413,0.157,0.674,3
0,21.152,0.0,0.0,1.0,1
1,71.457,6.475,0.057,0.743,3
0,47.501,7.823,0.144,0.781,2
0,26.38,3.924,0.135,0.764,2
0,23.792,3.655,0.142,0.609,3
1,41.937,6.625,0.145,0.697,3
0,42.332,6.498,0.125,0.816,2
1,38.412,0.0,0.0,1.0,1
0,20.018,2.887,0.141,0.718,2
0,31.919,5.132,0.159,0.709,2
0,48.123,0.0,0.0,1.0,1
1,21.035,1.703,0.068,0.803,2
1,77.916,0.0,0.0,1.0,1
1,108.789,13.944,0.091,0.834,3
1,44.912,7.364,0.137,0.803,2
1,70.812,0.0,0.0,1.0,1
0,25.569,4.265,0.143,0.793,2
1,70.32,0.0,0.0,1.0,1
1,30.397,6.396,0.183,0.576,4
1,55.891,0.0,0.0,1.0,1
0,24.148,4.686,0.19,0.619,3
