background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,20.183,3.781,0.173,0.528,6
0,30.928,6.71,0.192,0.308,14
0,30.877,7.628,0.23,0.297,15
1,30.461,6.058,0.181,0.308,15
1,188.664,26.066,0.08,0.606,22
0,57.345,10.15,0.141,0.49,14
1,79.841,7.653,0.037,0.869,8
1,26.48,5.913,0.199,0.302,15
0,45.45,9.541,0.184,0.45,9
0,20.785,4.164,0.189,0.404,9
1,217.6,27.709,0.091,0.426,23
1,37.617,5.934,0.141,0.345,12
1,98.803,16.409,0.12,0.717,17
0,22.987,5.113,0.199,0.455,9
0,47.056,9.331,0.171,0.249,20
1,34.237,8.841,0.24,0.309,17
0,29.3,6.494,0.199,0.285,17
0,22.661,4.538,0.186,0.449,8
1,31.285,6.171,0.163,0.426,12
0,22.115,4.743,0.199,0.397,10
0,76.189,18.313,0.201,0.297,23
1,118.453,13.038,0.071,0.803,10
0,38.015,9.045,0.209,0.287,20
0,21.81,4.58,0.194,0.351,11
0,43.248,8.457,0.173,0.283,16
0,23.187,5.566,0.222,0.352,10
0,22.0,5.122,0.216,0.371,10
0,25.479,5.176,0.177,0.312,13
0,27.278,6.271,0.203,0.332,12
0,30.48,5.943,0.168,0.326,13
1,68.921,13.525,0.173,0.317,23
1,127.788,17.919,0.111,0.459,15
1,72.96,15.148,0.181,0.475,17
0,28.889,4.859,0.138,0.346,13
0,53.811,12.653,0.205,0.241,22
0,26.066,5.858,0.203,0.282,15
1,73.897,9.339,0.105,0.366,17
1,86.655,10.715,0.102,0.389,13
0,21.49,4.396,0.188,0.385,11
1,110.31,15.766,0.115,0.454,15
1,28.779,6.27,0.19,0.294,15
0,38.891,9.739,0.231,0.288,16
1,68.017,10.795,0.135,0.37,17
0,26.045,6.21,0.217,0.302,13
0,21.309,4.497,0.185,0.33,11
1,91.492,14.939,0.119,0.526,15
1,96.023,16.934,0.152,0.265,29
0,27.111,4.694,0.138,0.441,11
0,42.001,9.075,0.198,0.324,15
1,123.07,9.08,0.034,0.866,7
0,21.935,4.6,0.185,0.331,12
0,27.804,6.235,0.197,0.386,11
0,26.052,4.237,0.148,0.333,11
0,29.748,6.332,0.197,0.362,10
0,37.597,8.42,0.208,0.262,18
0,21.195,3.765,0.153,0.364,8
0,28.383,5.911,0.186,0.324,12
1,312.548,18.407,0.018,0.942,10
0,20.435,3.003,0.14,0.425,7
1,37.6,8.178,0.197,0.341,11
0,21.981,4.354,0.181,0.312,12
1,405.259,36.962,0.052,0.69,20
0,24.54,5.6,0.208,0.316,13
1,287.648,22.486,0.025,0.871,13
0,24.872,5.902,0.217,0.329,11
0,42.251,8.939,0.177,0.348,17
1,71.051,11.612,0.124,0.306,23
1,40.233,9.95,0.226,0.326,15
0,30.965,7.848,0.236,0.279,19
0,44.223,10.504,0.219,0.286,14
1,213.486,11.028,0.015,0.979,3
1,38.69,6.084,0.122,0.637,9
1,142.853,11.788,0.051,0.45,14
0,26.856,6.483,0.219,0.289,15
0,20.67,4.864,0.224,0.434,9
1,38.658,6.4,0.145,0.306,16
0,21.388,4.151,0.178,0.368,9
1,60.613,8.09,0.092,0.748,8
1,120.527,16.828,0.1,0.46,15
0,25.748,5.107,0.174,0.41,9
0,30.258,6.593,0.19,0.326,13
0,23.919,5.102,0.197,0.32,13
1,112.92,18.548,0.132,0.395,24
0,20.145,3.999,0.19,0.395,8
0,22.738,4.512,0.176,0.379,11
0,31.919,8.025,0.235,0.299,15
0,39.765,10.508,0.242,0.27,20
1,365.936,18.722,0.017,0.93,8
1,57.11,10.367,0.153,0.289,20
1,39.031,7.07,0.147,0.613,10
1,214.524,17.086,0.04,0.804,11
1,75.137,14.217,0.177,0.551,14
1,31.457,3.269,0.06,0.712,7
0,42.356,11.016,0.238,0.248,22
1,174.871,13.474,0.034,0.881,10
1,126.202,15.441,0.089,0.377,21
1,268.382,23.339,0.047,0.851,20
1,29.021,5.573,0.175,0.368,13
1,104.954,5.672,0.032,0.633,6
0,22.745,4.119,0.157,0.367,10
0,22.498,4.627,0.176,0.348,11
0,29.642,7.565,0.237,0.318,14
1,127.51,18.505,0.098,0.428,25
1,233.078,27.073,0.068,0.808,20
0,21.726,5.157,0.221,0.284,14
1,299.845,16.504,0.018,0.921,9
1,23.89,4.772,0.186,0.411,10
0,24.743,5.346,0.194,0.339,12
1,442.684,14.61,0.006,0.979,8
1,28.512,5.141,0.155,0.328,11
0,21.056,4.494,0.187,0.346,11
0,44.277,7.654,0.155,0.394,11
1,390.608,37.964,0.046,0.87,16
0,31.505,7.142,0.207,0.361,10
0,21.193,3.667,0.15,0.363,11
0,33.869,7.309,0.193,0.321,15
1,61.794,11.242,0.148,0.283,23
1,44.089,7.667,0.151,0.585,8
1,151.649,17.206,0.077,0.66,8
1,159.754,19.758,0.078,0.702,16
1,226.81,8.531,0.006,0.967,4
0,25.434,6.306,0.231,0.301,12
1,193.372,21.812,0.064,0.776,17
0,20.716,4.625,0.207,0.35,11
1,187.053,8.333,0.01,0.964,8
1,296.017,26.524,0.05,0.615,17
1,103.171,5.065,0.018,0.938,3
1,33.878,7.921,0.21,0.309,14
0,24.021,6.142,0.236,0.255,18
0,25.085,5.531,0.208,0.348,10
1,244.888,31.176,0.086,0.479,22
1,28.982,5.024,0.145,0.469,8
1,397.812,30.952,0.027,0.937,10
0,33.883,8.897,0.236,0.258,19
1,295.849,24.066,0.03,0.875,17
1,73.137,13.124,0.156,0.396,17
1,287.712,17.181,0.03,0.711,6
1,28.133,6.675,0.221,0.284,17
1,23.264,4.014,0.147,0.377,10
0,24.808,6.282,0.238,0.343,11
0,42.96,8.666,0.188,0.315,17
0,33.606,8.886,0.245,0.281,17
1,23.6,5.435,0.192,0.386,8
1,169.813,9.887,0.025,0.906,11
0,24.07,5.189,0.196,0.313,13
1,110.33,16.226,0.1,0.645,15
0,27.585,6.538,0.21,0.336,14
0,20.078,4.908,0.232,0.335,12
0,41.104,9.696,0.213,0.249,20
0,21.792,4.975,0.202,0.364,10
1,24.942,4.645,0.176,0.322,12
0,28.622,5.939,0.19,0.294,17
1,162.692,14.996,0.044,0.913,8
1,479.283,23.957,0.012,0.959,11
1,87.276,12.57,0.112,0.409,17
1,64.134,13.302,0.172,0.465,24
1,93.557,13.13,0.109,0.484,16
0,21.978,4.333,0.178,0.372,11
1,113.168,13.886,0.086,0.542,13
0,20.826,3.963,0.179,0.389,11
1,21.928,5.21,0.215,0.347,11
1,48.156,7.476,0.135,0.395,12
1,414.9,27.67,0.021,0.912,12
1,611.334,22.042,0.007,0.965,7
1,90.875,18.082,0.172,0.352,20
0,23.504,5.573,0.212,0.317,13
1,37.179,8.471,0.21,0.355,13
1,224.091,26.272,0.063,0.775,15
0,30.33,7.794,0.239,0.32,13
0,26.725,6.274,0.206,0.331,15
0,35.312,7.88,0.184,0.277,18
1,126.336,19.021,0.109,0.344,20
0,44.294,8.51,0.171,0.351,13
1,63.535,14.308,0.194,0.314,16
1,43.254,6.427,0.123,0.318,14
0,51.539,12.145,0.221,0.247,22
0,34.417,7.972,0.221,0.5,9
1,42.659,10.369,0.232,0.319,17
0,24.692,4.204,0.157,0.353,9
1,79.03,10.848,0.101,0.528,14
1,509.481,23.676,0.013,0.932,14
0,41.479,9.573,0.206,0.277,21
0,25.829,5.926,0.214,0.403,10
1,31.162,6.55,0.19,0.285,15
1,138.167,16.818,0.064,0.562,17
0,30.477,7.279,0.203,0.275,17
1,81.393,15.352,0.157,0.449,16
1,378.129,16.275,0.016,0.923,10
