background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,50.449,2.96,0.038,0.747,2
1,34.84,4.007,0.052,0.708,2
0,32.523,-2.85,0.067,0.71,2
1,20.17,3.077,0.094,0.77,2
0,20.356,3.025,0.08,0.654,4
1,25.214,2.688,0.045,0.936,2
0,21.722,-2.973,0.098,0.746,2
0,20.129,3.153,0.091,0.802,2
0,20.593,-3.159,0.095,0.708,3
1,26.276,3.546,0.084,0.707,2
0,20.17,3.4,0.075,0.84,2
0,21.858,2.526,0.097,0.579,6
0,21.141,1.26,0.067,0.522,5
0,24.099,0.698,0.044,0.942,2
0,31.78,-1.318,0.046,0.793,3
1,51.757,-3.168,0.037,0.712,3
0,23.948,2.072,0.06,0.501,7
0,23.955,-4.423,0.057,0.86,2
0,21.156,-0.781,0.108,0.48,5
0,21.473,2.77,0.103,0.764,2
1,29.286,4.336,0.083,0.72,2
1,94.102,-3.06,0.006,0.972,2
1,30.434,4.377,0.05,0.707,2
0,20.8,2.651,0.047,0.911,2
1,108.804,-2.773,0.017,0.729,2
1,42.728,3.467,0.035,0.708,2
0,20.498,-1.51,0.107,0.419,7
1,69.753,3.046,0.022,0.814,2
1,53.242,-3.391,0.02,0.894,3
0,21.465,-0.471,0.077,0.728,3
0,24.781,-2.911,0.039,0.932,2
1,79.049,-3.055,0.02,0.71,2
0,21.422,-0.95,0.08,0.643,5
0,20.282,-1.056,0.099,0.508,6
0,24.016,2.789,0.056,0.841,2
0,21.249,-2.965,0.072,0.77,2
1,26.468,-3.367,0.051,0.834,3
1,21.783,-3.483,0.055,0.789,3
0,30.873,-2.934,0.063,0.754,2
1,54.419,-3.065,0.034,0.709,3
0,23.577,3.118,0.085,0.637,3
0,20.892,-1.29,0.066,0.905,2
1,36.215,-3.135,0.047,0.686,4
1,26.221,-3.38,0.079,0.709,2
0,21.955,-0.23,0.073,0.599,6
1,40.184,-3.428,0.036,0.877,2
0,20.392,-1.149,0.082,0.543,5
0,22.035,-1.121,0.056,0.777,4
1,69.681,-2.972,0.023,0.714,2
0,26.47,1.104,0.077,0.703,3
1,23.145,3.795,0.055,0.884,2
0,23.302,-2.662,0.069,0.867,4
0,20.68,3.028,0.1,0.801,2
1,84.553,-2.647,0.004,0.988,2
1,32.26,3.517,0.053,0.707,2
0,20.206,-1.863,0.091,0.359,10
0,31.185,-3.574,0.057,0.831,2
0,24.56,2.735,0.032,0.947,2
0,21.555,-3.614,0.086,0.843,2
0,27.889,-2.613,0.05,0.877,4
0,22.48,3.749,0.079,0.737,2
0,34.001,1.166,0.024,0.95,2
0,21.439,-3.326,0.083,0.72,2
1,61.193,3.659,0.03,0.81,2
1,32.907,-3.219,0.052,0.733,3
1,46.089,3.331,0.033,0.718,2
1,20.876,-4.132,0.064,0.801,2
0,32.551,0.42,0.021,0.881,4
0,28.663,-2.918,0.036,0.89,2
1,90.637,-3.857,0.014,0.91,2
1,32.416,3.567,0.027,0.951,2
0,22.195,-1.122,0.086,0.755,4
1,44.718,3.614,0.043,0.766,2
1,22.85,-3.331,0.09,0.797,2
