background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,28.731,6.547,0.205,0.252,22
1,42.31,3.928,0.079,0.494,8
0,32.094,7.726,0.215,0.234,27
1,390.363,13.588,0.006,0.989,4
1,116.448,17.451,0.113,0.43,27
1,206.812,29.026,0.111,0.432,28
1,119.67,18.107,0.107,0.399,27
1,386.902,90.559,0.216,0.278,48
1,45.477,8.29,0.131,0.334,26
0,25.055,5.922,0.214,0.29,19
0,20.539,4.799,0.214,0.299,20
0,21.114,4.964,0.213,0.262,18
1,52.85,6.424,0.079,0.732,11
1,286.747,26.423,0.039,0.907,13
0,24.522,3.631,0.12,0.344,17
1,39.016,4.869,0.093,0.474,11
0,47.399,8.575,0.141,0.305,21
0,21.569,5.2,0.225,0.247,22
1,262.328,30.59,0.069,0.591,23
0,25.753,6.089,0.221,0.262,18
0,41.178,8.648,0.181,0.38,18
1,156.104,21.567,0.08,0.606,22
1,238.228,23.746,0.056,0.837,16
1,155.927,24.018,0.123,0.361,18
0,22.783,6.267,0.26,0.277,19
0,24.208,6.537,0.253,0.277,18
0,42.815,7.598,0.152,0.277,22
1,246.024,14.859,0.024,0.897,12
1,283.616,31.428,0.097,0.386,20
1,244.911,17.553,0.029,0.884,8
0,20.146,3.997,0.167,0.371,18
0,39.123,7.817,0.176,0.33,15
0,35.523,7.708,0.189,0.263,21
0,24.824,5.009,0.172,0.432,16
0,89.44,13.292,0.097,0.495,16
1,30.774,4.682,0.129,0.637,7
0,32.234,7.889,0.212,0.25,22
0,30.623,4.992,0.137,0.421,14
0,27.22,4.351,0.138,0.347,14
0,20.285,5.215,0.237,0.272,18
1,233.464,15.81,0.041,0.522,11
1,196.286,35.437,0.167,0.359,21
1,23.348,4.446,0.15,0.416,10
0,20.983,4.622,0.178,0.36,15
1,118.853,10.16,0.032,0.869,12
1,20.806,4.95,0.218,0.301,20
1,74.449,9.113,0.082,0.479,13
0,26.474,5.209,0.159,0.476,11
0,38.896,9.002,0.206,0.254,27
0,21.598,6.014,0.265,0.233,25
0,24.897,3.544,0.122,0.338,15
1,329.276,24.476,0.026,0.928,11
0,33.21,7.561,0.202,0.327,19
0,25.973,5.579,0.192,0.264,24
0,22.747,6.049,0.242,0.223,28
1,358.157,28.768,0.027,0.912,12
0,25.616,6.016,0.215,0.293,17
0,28.89,7.394,0.245,0.254,22
1,108.367,11.852,0.069,0.659,14
1,53.242,5.739,0.083,0.448,11
1,422.623,27.535,0.021,0.918,14
0,101.16,11.785,0.06,0.771,13
1,67.525,7.466,0.057,0.743,11
1,448.291,46.257,0.058,0.734,27
0,39.712,9.122,0.21,0.216,35
1,162.149,18.275,0.052,0.857,11
1,148.746,18.984,0.086,0.433,23
