background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,27.062,0.937,0.151,0.458,7
1,60.093,2.263,0.173,0.324,15
0,33.522,1.761,0.228,0.319,16
0,73.372,0.834,0.225,0.263,18
1,168.862,-1.251,0.098,0.811,5
0,24.248,-1.811,0.179,0.37,11
0,33.025,-1.906,0.177,0.638,10
0,67.294,1.257,0.112,0.675,5
1,175.116,0.995,0.03,0.925,6
0,35.129,-1.04,0.197,0.332,11
1,51.013,3.939,0.132,0.664,3
0,21.674,2.611,0.163,0.6,5
1,59.673,2.669,0.032,0.701,4
1,198.706,2.675,0.059,0.659,7
1,131.543,-0.708,0.026,0.898,7
1,654.62,-1.002,0.001,0.997,3
0,40.23,-0.336,0.198,0.353,10
0,26.843,2.314,0.222,0.347,11
0,38.831,-1.596,0.244,0.322,16
1,192.434,-1.519,0.039,0.721,12
1,91.28,-2.464,0.142,0.503,12
0,27.374,0.838,0.197,0.405,9
0,35.414,0.051,0.199,0.386,8
0,38.426,1.964,0.214,0.297,15
1,721.67,-1.301,0.007,0.977,6
0,29.657,2.271,0.253,0.306,13
0,20.119,2.113,0.175,0.414,8
1,553.827,0.536,0.007,0.971,8
0,36.996,-1.888,0.227,0.304,17
1,59.653,2.565,0.16,0.705,11
0,24.958,1.418,0.179,0.356,11
0,37.916,-0.932,0.2,0.443,12
1,265.969,2.6,0.031,0.842,7
1,599.225,0.786,0.017,0.943,8
0,26.29,-1.658,0.217,0.35,11
0,27.011,-0.413,0.127,0.652,6
0,48.42,-0.571,0.247,0.299,14
1,705.469,0.792,0.016,0.961,8
1,731.036,-0.685,0.002,0.997,2
0,38.237,-2.11,0.219,0.364,11
1,1034.775,-0.251,0.006,0.982,5
0,23.662,-1.35,0.178,0.416,8
0,21.734,2.553,0.166,0.699,7
1,42.841,3.075,0.059,0.895,2
0,30.945,-1.052,0.173,0.433,8
0,22.766,-1.025,0.166,0.437,7
1,61.54,-3.762,0.094,0.859,2
1,280.024,-0.765,0.027,0.952,7
1,642.049,0.536,0.01,0.965,8
0,49.112,1.724,0.223,0.275,19
1,73.072,-3.356,0.051,0.885,3
0,29.713,2.292,0.112,0.328,12
0,26.072,2.177,0.206,0.346,12
1,368.457,1.875,0.015,0.954,5
0,28.912,0.626,0.147,0.452,7
0,29.333,2.044,0.233,0.318,14
0,29.751,0.078,0.196,0.447,8
1,38.184,2.695,0.149,0.611,5
1,858.419,0.115,0.009,0.983,5
1,418.675,-0.056,0.015,0.964,8
0,20.262,-1.568,0.179,0.4,9
1,121.463,-3.342,0.165,0.516,7
0,21.645,0.274,0.197,0.454,7
1,401.038,-1.771,0.033,0.902,15
0,38.546,1.402,0.148,0.706,7
0,23.543,0.483,0.156,0.431,8
0,35.025,-1.104,0.099,0.53,6
1,389.621,1.339,0.012,0.933,9
1,36.69,3.922,0.13,0.795,2
0,22.65,-0.579,0.207,0.404,9
1,117.674,-2.556,0.13,0.655,10
0,20.108,-0.345,0.162,0.453,6
0,25.962,1.237,0.243,0.374,9
0,37.942,-1.189,0.133,0.441,9
1,529.129,-0.889,0.007,0.988,3
0,20.108,0.584,0.235,0.442,6
0,24.802,-1.436,0.231,0.311,14
1,34.069,3.645,0.131,0.746,2
1,710.289,-1.082,0.003,0.995,4
0,25.72,0.205,0.23,0.34,12
0,34.917,1.211,0.198,0.49,10
0,28.079,0.928,0.205,0.357,10
0,56.976,-1.987,0.228,0.301,21
0,35.541,-1.112,0.196,0.365,10
1,62.445,-2.279,0.16,0.468,16
0,45.504,1.221,0.201,0.414,11
0,25.985,0.408,0.193,0.403,8
1,225.849,0.795,0.041,0.86,15
1,53.822,-2.211,0.2,0.274,21
1,128.432,3.12,0.09,0.65,3
0,20.162,-1.779,0.203,0.362,9
1,600.748,-0.465,0.016,0.95,9
1,306.983,-1.313,0.046,0.909,9
0,23.026,0.425,0.168,0.542,5
1,521.522,-1.274,0.02,0.927,10
0,27.219,2.232,0.17,0.275,15
1,789.154,-0.108,0.004,0.989,6
1,61.588,-2.325,0.231,0.288,20
0,29.747,-0.712,0.209,0.448,8
1,442.699,1.734,0.011,0.979,7
1,586.075,0.791,0.009,0.959,9
1,787.266,-1.284,0.013,0.962,10
1,102.073,3.476,0.152,0.572,4
0,33.617,1.405,0.184,0.329,12
1,44.163,2.846,0.145,0.54,5
1,67.597,3.147,0.159,0.588,3
1,640.42,-0.942,0.011,0.967,6
1,485.278,0.367,0.008,0.975,4
0,33.881,-2.076,0.193,0.28,16
0,29.215,-0.453,0.133,0.366,10
0,28.262,-0.67,0.171,0.351,10
0,24.057,1.499,0.181,0.332,12
0,26.627,0.65,0.233,0.294,13
0,51.722,-1.81,0.198,0.382,16
0,36.414,0.432,0.217,0.372,11
1,957.191,-1.184,0.007,0.975,9
1,896.861,-0.876,0.013,0.949,14
1,49.198,2.236,0.108,0.352,15
0,32.125,-0.363,0.17,0.346,10
1,35.394,-3.79,0.164,0.694,3
1,82.106,2.491,0.086,0.77,10
