background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,20.84,0.0,0.0,1.0,1
0,24.198,1.747,0.046,0.891,2
1,103.136,0.0,0.0,1.0,1
0,21.109,0.0,0.0,1.0,1
1,48.377,0.0,0.0,1.0,1
1,59.461,0.0,0.0,1.0,1
1,44.602,0.0,0.0,1.0,1
0,43.149,0.0,0.0,1.0,1
1,121.684,11.418,0.05,0.921,3
0,23.278,0.0,0.0,1.0,1
0,32.287,0.0,0.0,1.0,1
1,21.308,1.561,0.041,0.919,2
0,23.008,3.302,0.142,0.711,2
1,43.201,5.862,0.113,0.764,3
1,53.062,8.52,0.157,0.716,2
0,39.574,8.854,0.214,0.643,4
0,25.998,2.32,0.069,0.836,2
1,82.791,0.0,0.0,1.0,1
1,57.395,0.0,0.0,1.0,1
1,142.912,24.9,0.157,0.7,4
0,29.977,4.43,0.129,0.692,3
0,24.834,0.0,0.0,1.0,1
1,85.92,14.65,0.16,0.467,5
1,50.205,2.049,0.021,0.93,2
0,20.806,2.645,0.123,0.729,2
1,56.685,4.901,0.051,0.908,2
0,25.95,0.0,0.0,1.0,1
1,38.934,6.108,0.139,0.604,3
1,60.129,0.0,0.0,1.0,1
0,39.331,0.0,0.0,1.0,1
0,23.398,4.51,0.188,0.661,3
0,20.35,0.0,0.0,1.0,1
0,37.341,3.841,0.102,0.71,2
1,51.936,11.347,0.211,0.504,6
0,29.305,3.614,0.098,0.594,4
0,20.822,3.866,0.177,0.736,2
0,21.259,0.0,0.0,1.0,1
0,41.349,8.037,0.181,0.672,3
0,24.341,0.0,0.0,1.0,1
1,25.494,0.0,0.0,1.0,1
1,28.182,0.0,0.0,1.0,1
0,30.133,0.0,0.0,1.0,1
1,81.392,5.504,0.023,0.97,2
0,35.695,5.041,0.128,0.765,2
0,28.23,4.597,0.151,0.66,3
1,54.487,0.0,0.0,1.0,1
0,31.427,6.594,0.197,0.542,4
0,33.461,2.468,0.042,0.915,2
0,23.955,1.902,0.057,0.86,2
0,36.76,5.65,0.141,0.759,2
0,43.648,0.0,0.0,1.0,1
0,37.885,0.0,0.0,1.0,1
1,28.252,3.901,0.095,0.871,2
0,22.879,4.229,0.183,0.711,2
0,20.35,0.0,0.0,1.0,1
1,44.147,0.0,0.0,1.0,1
0,34.542,4.088,0.117,0.712,2
0,23.279,3.045,0.122,0.748,2
1,69.838,0.0,0.0,1.0,1
0,33.921,0.0,0.0,1.0,1
0,29.659,0.0,0.0,1.0,1
1,35.507,4.047,0.098,0.633,3
0,28.709,5.074,0.157,0.771,2
0,57.413,10.68,0.159,0.603,5
1,30.288,0.0,0.0,1.0,1
1,39.324,3.609,0.083,0.766,2
1,68.445,0.0,0.0,1.0,1
0,21.694,0.0,0.0,1.0,1
1,36.352,0.0,0.0,1.0,1
1,33.77,0.0,0.0,1.0,1
1,64.054,0.0,0.0,1.0,1
1,71.562,0.0,0.0,1.0,1
1,85.999,6.999,0.045,0.921,2
1,75.92,5.597,0.051,0.874,2
1,34.703,0.0,0.0,1.0,1
1,52.138,0.0,0.0,1.0,1
1,50.27,0.0,0.0,1.0,1
0,21.418,3.205,0.144,0.729,2
1,60.272,5.009,0.042,0.935,2
1,71.674,6.601,0.091,0.717,2
0,36.338,7.049,0.189,0.72,2
0,20.826,1.881,0.085,0.746,2
0,26.632,0.0,0.0,1.0,1
0,26.746,3.973,0.145,0.721,2
0,22.197,0.0,0.0,1.0,1
1,42.227,1.525,0.014,0.959,2
1,98.387,10.173,0.063,0.903,2
1,68.922,4.561,0.033,0.934,2
1,35.053,7.069,0.193,0.683,3
0,21.825,4.061,0.173,0.659,3
0,46.427,5.062,0.1,0.68,3
0,32.043,4.812,0.149,0.711,2
1,66.378,5.574,0.078,0.753,2
1,32.264,0.0,0.0,1.0,1
0,34.399,0.0,0.0,1.0,1
1,24.971,4.147,0.161,0.727,2
0,35.233,0.0,0.0,1.0,1
0,27.065,3.895,0.124,0.789,2
1,36.466,0.0,0.0,1.0,1
